,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.489,0.591875,0.18575,0.1875,0.184
1,1,0.503875,0.660125,0.393375,0.48675,0.3
2,2,0.5665,0.6845,0.419125,0.49125,0.347
3,3,0.626375,0.78225,0.134875,0.1775,0.09225
4,4,0.786125,0.89675,0.053875,0.0715,0.03625
5,5,0.8765,0.968125,0.080125,0.087,0.07325
6,6,0.94375,0.976,0.065125,0.06975,0.0605
7,7,0.952,0.969875,0.0825,0.08375,0.08125
8,8,0.93,0.969,0.0845,0.0855,0.0835
9,9,0.9175,0.959375,0.086625,0.08625,0.087
10,10,0.940875,0.965625,0.08625,0.08625,0.08625
11,11,0.745125,0.932375,0.08625,0.08625,0.08625
