,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.489,0.591875,0.181125,0.17425,0.188
1,1,0.503875,0.660125,0.359,0.40275,0.31525
2,2,0.5665,0.6845,0.392625,0.454,0.33125
3,3,0.626375,0.78225,0.752875,0.65425,0.8515
4,4,0.786125,0.89675,0.955375,0.94175,0.969
5,5,0.8765,0.968125,0.948375,0.93875,0.958
6,6,0.94375,0.976,0.262125,0.25075,0.2735
7,7,0.952,0.969875,0.096875,0.0965,0.09725
8,8,0.93,0.969,0.092375,0.09175,0.093
9,9,0.9175,0.959375,0.08675,0.0865,0.087
10,10,0.940875,0.965625,0.08625,0.08625,0.08625
11,11,0.745125,0.932375,0.08625,0.08625,0.08625
