,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.164,0.938,1.669,0.498,1.624,0.528,1.688,0.504,3.142,0.5,2.77,0.5,1.186,0.489,3.372,0.499
1,1,0.108,0.959,1.998,0.532,1.957,0.54,1.927,0.53,3.423,0.5,2.075,0.542,1.604,0.5,3.657,0.501
2,2,0.08,0.98,2.039,0.578,1.904,0.609,1.964,0.595,3.487,0.502,1.105,0.713,2.13,0.5,3.072,0.532
3,3,0.066,0.982,1.734,0.601,1.574,0.639,1.701,0.619,2.919,0.525,1.191,0.696,2.99,0.5,2.479,0.564
4,4,0.161,0.949,1.853,0.565,1.834,0.568,1.938,0.567,2.118,0.497,2.247,0.533,3.05,0.5,2.158,0.546
5,5,0.718,0.774,2.185,0.46,2.186,0.469,2.225,0.454,2.156,0.439,2.82,0.464,3.329,0.5,1.88,0.433
6,6,0.958,0.668,1.894,0.418,2.053,0.406,2.086,0.389,2.135,0.346,2.527,0.353,3.825,0.428,1.677,0.363
7,7,1.378,0.507,2.107,0.364,2.149,0.372,2.231,0.363,1.815,0.355,2.686,0.302,3.943,0.423,1.496,0.369
8,8,1.273,0.448,1.828,0.361,1.86,0.369,1.874,0.362,1.629,0.354,2.153,0.347,3.29,0.4,1.337,0.354
9,9,2.116,0.382,2.45,0.363,2.494,0.365,2.519,0.353,2.213,0.357,2.6,0.369,2.133,0.366,1.997,0.362
10,10,3.502,0.361,3.81,0.36,3.724,0.367,3.824,0.358,3.65,0.361,3.59,0.366,3.367,0.345,3.464,0.355
11,11,5.065,0.362,5.045,0.367,5.034,0.375,5.073,0.369,5.034,0.375,5.034,0.375,5.034,0.375,5.034,0.375
