,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.18,0.932,1.764,0.474,1.745,0.479,1.763,0.483,3.152,0.5,2.516,0.5,1.62,0.492,3.326,0.5
1,1,0.109,0.962,2.098,0.497,2.277,0.46,2.26,0.471,3.389,0.5,1.81,0.569,1.53,0.498,3.503,0.502
2,2,0.142,0.955,2.387,0.494,2.538,0.482,2.579,0.471,3.491,0.501,0.906,0.692,2.451,0.5,3.251,0.522
3,3,0.138,0.964,2.247,0.504,2.338,0.502,2.364,0.491,3.149,0.503,1.249,0.673,2.916,0.5,2.682,0.548
4,4,0.286,0.899,2.308,0.475,2.316,0.484,2.352,0.471,1.88,0.531,2.145,0.54,3.401,0.5,2.1,0.535
5,5,0.825,0.733,2.298,0.427,2.344,0.419,2.367,0.415,2.27,0.418,2.818,0.435,3.444,0.503,1.786,0.447
6,6,0.987,0.675,1.982,0.387,2.12,0.401,2.145,0.387,2.003,0.354,2.488,0.35,3.501,0.421,1.666,0.382
7,7,1.421,0.5,2.177,0.351,2.199,0.362,2.263,0.359,1.826,0.326,2.921,0.296,3.898,0.429,1.532,0.348
8,8,1.34,0.438,1.886,0.332,1.908,0.354,1.909,0.356,1.746,0.335,2.297,0.327,3.426,0.419,1.331,0.334
9,9,2.209,0.383,2.467,0.365,2.541,0.365,2.553,0.347,2.248,0.36,2.617,0.363,2.006,0.369,1.97,0.355
10,10,3.56,0.356,3.791,0.358,3.756,0.364,3.855,0.358,3.717,0.36,3.7,0.368,2.973,0.354,3.404,0.353
11,11,5.065,0.362,5.045,0.367,5.034,0.375,5.073,0.369,5.034,0.375,5.034,0.375,5.034,0.375,5.034,0.375
