,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.055,0.981,0.778,0.777,0.732,0.784,0.745,0.781,3.334,0.5,2.891,0.506,1.699,0.491,3.504,0.5
1,1,0.015,0.996,0.751,0.82,0.694,0.825,0.734,0.821,3.723,0.5,1.254,0.654,1.618,0.5,3.665,0.505
2,2,0.006,0.999,0.449,0.894,0.404,0.902,0.393,0.903,3.496,0.509,2.261,0.592,2.334,0.5,2.445,0.59
3,3,0.005,1.0,0.38,0.91,0.313,0.918,0.343,0.916,2.298,0.613,1.005,0.765,2.828,0.5,1.219,0.763
4,4,0.03,0.996,0.986,0.76,0.957,0.765,0.906,0.782,1.787,0.611,1.721,0.634,3.459,0.498,1.632,0.629
5,5,1.088,0.664,2.556,0.403,2.554,0.415,2.574,0.413,3.379,0.358,1.786,0.496,3.409,0.493,2.477,0.427
6,6,1.685,0.452,2.787,0.253,2.759,0.247,2.808,0.232,2.652,0.302,2.831,0.26,4.806,0.15,1.882,0.329
7,7,2.103,0.262,2.758,0.188,2.797,0.163,2.772,0.179,2.366,0.173,3.981,0.117,6.258,0.081,1.719,0.226
8,8,2.199,0.153,2.786,0.11,2.817,0.104,2.849,0.1,2.608,0.08,4.488,0.036,4.97,0.052,1.846,0.138
9,9,3.509,0.043,3.98,0.045,3.979,0.035,4.028,0.04,4.279,0.028,3.959,0.034,4.219,0.032,3.24,0.03
10,10,5.827,0.034,6.012,0.037,6.045,0.034,6.049,0.033,6.086,0.025,5.796,0.041,5.339,0.029,5.74,0.025
11,11,7.802,0.019,7.775,0.027,7.821,0.022,7.839,0.022,7.821,0.022,7.821,0.022,7.821,0.022,7.821,0.022
