,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.202,0.927,1.762,0.486,1.781,0.465,1.738,0.48,3.137,0.5,2.799,0.5,1.272,0.509,3.205,0.499
1,1,0.167,0.945,2.114,0.485,2.094,0.472,2.032,0.486,3.337,0.5,1.833,0.558,1.604,0.483,3.454,0.499
2,2,0.381,0.876,2.536,0.481,2.534,0.485,2.493,0.482,3.423,0.5,0.898,0.755,2.299,0.499,3.299,0.505
3,3,0.394,0.882,2.472,0.481,2.471,0.479,2.417,0.501,2.767,0.516,0.922,0.765,2.87,0.5,2.613,0.576
4,4,1.121,0.698,3.047,0.375,3.006,0.373,3.115,0.36,1.669,0.502,1.478,0.571,3.385,0.498,2.093,0.495
5,5,2.014,0.515,3.577,0.273,3.513,0.288,3.583,0.286,3.032,0.396,1.947,0.432,3.605,0.485,2.586,0.399
6,6,1.928,0.407,3.048,0.225,2.987,0.23,3.048,0.209,2.464,0.315,3.021,0.237,5.06,0.155,1.931,0.329
7,7,2.272,0.226,3.056,0.152,3.058,0.154,3.042,0.142,2.212,0.191,4.147,0.117,5.797,0.104,1.658,0.251
8,8,2.406,0.158,3.023,0.113,3.041,0.102,3.061,0.111,2.818,0.096,4.18,0.051,5.135,0.059,1.965,0.159
9,9,3.46,0.046,3.865,0.046,3.893,0.039,3.926,0.036,3.218,0.041,4.352,0.035,3.537,0.034,2.723,0.048
10,10,5.82,0.031,6.055,0.035,6.063,0.033,6.043,0.036,5.972,0.022,6.301,0.034,5.176,0.024,5.688,0.022
11,11,7.802,0.019,7.775,0.027,7.821,0.022,7.839,0.022,7.821,0.022,7.821,0.022,7.821,0.022,7.821,0.022
