,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.542,0.798,1.736,0.547,1.717,0.548,1.746,0.538,1.776,0.548,1.569,0.532,0.979,0.604,1.867,0.549
1,1,0.486,0.835,2.024,0.537,2.015,0.525,1.988,0.53,1.607,0.572,1.481,0.598,1.042,0.59,1.853,0.582
2,2,0.435,0.915,2.633,0.557,2.433,0.575,2.46,0.574,1.901,0.629,1.911,0.619,1.452,0.559,2.167,0.623
3,3,0.338,0.941,2.716,0.56,2.51,0.589,2.519,0.588,2.203,0.622,2.229,0.616,1.932,0.543,2.655,0.574
4,4,0.708,0.837,2.425,0.558,2.347,0.555,2.356,0.55,2.025,0.591,2.128,0.576,2.141,0.522,2.273,0.56
5,5,1.151,0.778,2.142,0.601,2.009,0.619,2.079,0.623,2.245,0.597,2.279,0.491,3.029,0.465,2.062,0.575
6,6,1.329,0.661,2.322,0.486,2.208,0.481,2.299,0.479,2.288,0.464,1.936,0.457,4.886,0.278,1.621,0.531
7,7,1.735,0.51,2.735,0.325,2.722,0.312,2.674,0.319,3.299,0.261,2.806,0.295,5.441,0.209,2.249,0.332
8,8,2.473,0.364,3.287,0.249,3.306,0.243,3.233,0.274,3.409,0.235,3.709,0.218,5.499,0.183,2.59,0.278
9,9,4.01,0.277,4.659,0.214,4.666,0.212,4.417,0.231,4.802,0.189,5.282,0.189,4.599,0.189,4.314,0.205
10,10,5.851,0.198,5.965,0.191,6.127,0.171,5.838,0.207,6.184,0.171,6.27,0.174,4.939,0.176,6.024,0.173
11,11,6.569,0.196,6.581,0.192,6.758,0.173,6.479,0.206,6.758,0.173,6.758,0.173,6.758,0.173,6.758,0.173
