,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.57,0.798,1.696,0.541,1.711,0.535,1.743,0.532,1.79,0.525,1.491,0.536,0.98,0.605,1.745,0.547
1,1,0.706,0.786,2.13,0.527,2.106,0.525,2.079,0.528,1.516,0.567,1.254,0.634,0.909,0.649,1.751,0.602
2,2,0.522,0.89,2.709,0.539,2.698,0.54,2.685,0.54,1.595,0.672,1.315,0.72,1.462,0.564,1.772,0.66
3,3,0.518,0.9,2.813,0.546,2.693,0.554,2.709,0.552,2.209,0.623,2.079,0.656,2.058,0.515,2.155,0.656
4,4,0.707,0.838,2.454,0.552,2.399,0.55,2.437,0.556,1.981,0.586,2.082,0.577,2.329,0.504,2.16,0.551
5,5,1.179,0.759,2.074,0.605,2.013,0.604,2.115,0.603,2.25,0.579,2.181,0.508,2.89,0.482,2.038,0.556
6,6,1.469,0.65,2.444,0.478,2.47,0.46,2.447,0.449,2.355,0.47,1.741,0.501,4.79,0.281,1.771,0.499
7,7,1.919,0.492,2.937,0.302,2.955,0.304,2.961,0.314,3.044,0.293,2.847,0.301,5.275,0.208,2.058,0.37
8,8,2.513,0.324,3.26,0.252,3.375,0.225,3.294,0.248,3.032,0.234,3.757,0.211,4.995,0.192,2.325,0.266
9,9,4.119,0.239,4.711,0.205,4.864,0.189,4.699,0.217,4.639,0.192,5.264,0.184,4.104,0.189,4.283,0.19
10,10,6.076,0.195,6.129,0.191,6.309,0.174,6.032,0.206,6.08,0.171,6.451,0.173,4.674,0.175,6.132,0.17
11,11,6.569,0.196,6.581,0.192,6.758,0.173,6.479,0.206,6.758,0.173,6.758,0.173,6.758,0.173,6.758,0.173
