,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.694,0.751,2.012,0.498,2.037,0.495,2.037,0.482,1.875,0.503,1.728,0.493,1.017,0.589,2.123,0.471
1,1,0.689,0.769,2.2,0.522,2.278,0.516,2.332,0.5,1.986,0.507,1.686,0.561,1.173,0.584,2.096,0.473
2,2,0.115,0.973,1.45,0.753,1.552,0.734,1.556,0.739,1.82,0.663,1.529,0.719,1.738,0.533,1.722,0.702
3,3,0.038,0.991,1.3,0.786,1.304,0.784,1.314,0.78,2.186,0.617,3.266,0.52,2.12,0.514,2.502,0.613
4,4,0.115,0.98,1.581,0.732,1.548,0.735,1.502,0.75,2.231,0.633,3.47,0.506,2.302,0.514,2.751,0.572
5,5,1.516,0.674,2.504,0.543,2.602,0.534,2.561,0.526,3.404,0.459,2.618,0.484,2.966,0.449,2.946,0.46
6,6,1.623,0.626,2.874,0.418,2.855,0.425,2.863,0.435,3.116,0.465,2.43,0.509,5.861,0.173,2.352,0.522
7,7,2.352,0.391,3.417,0.247,3.399,0.251,3.481,0.241,3.61,0.257,3.147,0.31,6.719,0.102,2.665,0.342
8,8,3.239,0.23,4.187,0.156,4.224,0.147,4.183,0.166,4.104,0.166,4.164,0.139,6.586,0.096,2.984,0.224
9,9,5.006,0.128,5.472,0.119,5.709,0.102,5.645,0.113,5.359,0.11,6.109,0.107,4.641,0.123,5.24,0.113
10,10,7.184,0.087,7.159,0.099,7.18,0.089,7.229,0.092,7.086,0.089,7.521,0.09,5.291,0.104,7.08,0.089
11,11,7.874,0.086,7.713,0.097,7.791,0.089,7.807,0.091,7.791,0.089,7.791,0.089,7.791,0.089,7.791,0.089
