,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.568,0.789,1.958,0.49,1.926,0.503,1.967,0.481,2.107,0.49,1.8,0.49,1.17,0.552,2.128,0.451
1,1,0.722,0.764,2.188,0.486,2.096,0.5,2.184,0.5,1.593,0.497,1.629,0.507,1.123,0.574,1.954,0.481
2,2,0.274,0.935,2.987,0.499,2.926,0.509,2.898,0.495,1.372,0.678,2.424,0.587,1.728,0.542,1.938,0.651
3,3,0.361,0.92,2.92,0.502,2.924,0.513,2.929,0.505,2.335,0.578,3.411,0.51,2.157,0.514,2.513,0.6
4,4,0.989,0.801,2.931,0.493,2.977,0.489,2.895,0.5,2.59,0.523,3.009,0.503,2.299,0.496,2.655,0.544
5,5,1.597,0.68,2.828,0.463,2.722,0.479,2.787,0.484,3.251,0.511,2.914,0.467,2.884,0.468,2.767,0.514
6,6,1.837,0.606,2.846,0.427,2.817,0.436,2.918,0.409,3.068,0.488,2.209,0.506,5.798,0.164,2.305,0.514
7,7,2.49,0.406,3.506,0.258,3.494,0.254,3.56,0.261,3.332,0.295,2.943,0.302,6.831,0.1,2.521,0.391
8,8,3.367,0.267,4.309,0.18,4.261,0.173,4.248,0.175,4.725,0.171,3.788,0.193,6.884,0.093,3.539,0.234
9,9,5.081,0.137,5.653,0.123,5.62,0.099,5.571,0.117,5.485,0.1,5.385,0.117,5.412,0.099,5.027,0.113
10,10,7.193,0.086,7.171,0.1,7.17,0.089,7.217,0.09,7.038,0.091,7.444,0.089,5.134,0.105,6.947,0.09
11,11,7.874,0.086,7.713,0.097,7.791,0.089,7.807,0.091,7.791,0.089,7.791,0.089,7.791,0.089,7.791,0.089
