,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.545875,0.54675,0.49925,0.501,0.4975
1,1,0.475375,0.58025,0.49675,0.49875,0.49475
2,2,0.553625,0.6625,0.494,0.495,0.493
3,3,0.69325,0.76825,0.492125,0.49075,0.4935
4,4,0.7675,0.842375,0.49575,0.49825,0.49325
5,5,0.76775,0.84825,0.494875,0.49875,0.491
6,6,0.735625,0.897125,0.49325,0.49375,0.49275
7,7,0.80375,0.89375,0.493125,0.4945,0.49175
8,8,0.757125,0.8825,0.495875,0.49875,0.493
9,9,0.788625,0.88325,0.49375,0.49325,0.49425
10,10,0.779,0.901,0.494125,0.49325,0.495
11,11,0.78175,0.8995,0.4945,0.4945,0.4945
