,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.545875,0.54675,0.493625,0.493,0.49425
1,1,0.475375,0.58025,0.493625,0.49375,0.4935
2,2,0.553625,0.6625,0.49975,0.49975,0.49975
3,3,0.69325,0.76825,0.49825,0.49875,0.49775
4,4,0.7675,0.842375,0.4955,0.493,0.498
5,5,0.76775,0.84825,0.496125,0.49375,0.4985
6,6,0.735625,0.897125,0.495625,0.4985,0.49275
7,7,0.80375,0.89375,0.495625,0.4965,0.49475
8,8,0.757125,0.8825,0.492625,0.491,0.49425
9,9,0.788625,0.88325,0.493375,0.49375,0.493
10,10,0.779,0.901,0.493125,0.49325,0.493
11,11,0.78175,0.8995,0.4945,0.4945,0.4945
