,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.471,0.791,1.026,0.514,1.013,0.528,1.045,0.512,1.762,0.501,0.98,0.524,1.091,0.529,1.33,0.511
1,1,0.295,0.879,1.046,0.565,1.052,0.557,1.056,0.56,2.958,0.5,0.844,0.603,1.654,0.5,1.523,0.528
2,2,0.308,0.877,1.009,0.586,1.031,0.592,1.003,0.597,2.522,0.502,0.998,0.655,1.906,0.486,1.057,0.599
3,3,0.363,0.849,0.978,0.606,1.02,0.599,0.99,0.6,1.158,0.539,0.984,0.558,1.895,0.508,1.138,0.548
4,4,0.747,0.674,1.266,0.527,1.32,0.522,1.258,0.529,1.21,0.485,1.02,0.593,1.88,0.491,1.197,0.495
5,5,0.837,0.66,1.294,0.515,1.364,0.522,1.285,0.523,1.5,0.462,1.07,0.532,1.797,0.488,1.318,0.474
6,6,0.797,0.662,1.238,0.521,1.299,0.524,1.235,0.535,1.461,0.469,1.157,0.497,1.732,0.46,1.286,0.484
7,7,0.757,0.681,1.185,0.526,1.239,0.511,1.145,0.531,1.415,0.456,1.461,0.469,1.26,0.426,1.152,0.473
8,8,0.932,0.609,1.26,0.494,1.31,0.498,1.216,0.518,1.703,0.448,1.198,0.524,1.333,0.407,1.178,0.467
9,9,1.431,0.512,1.684,0.47,1.72,0.469,1.634,0.474,1.699,0.436,1.474,0.463,1.527,0.405,1.523,0.426
10,10,1.838,0.504,2.031,0.474,2.055,0.475,1.976,0.485,1.956,0.459,2.021,0.483,1.639,0.414,1.846,0.477
11,11,3.183,0.499,3.168,0.499,3.188,0.498,3.141,0.499,3.188,0.498,3.188,0.498,3.188,0.498,3.188,0.498
