,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.46,0.804,1.018,0.499,1.033,0.512,1.052,0.495,1.517,0.496,0.903,0.481,1.059,0.482,1.325,0.499
1,1,0.397,0.833,1.17,0.496,1.2,0.495,1.196,0.49,3.108,0.499,0.848,0.649,1.372,0.494,1.51,0.52
2,2,0.356,0.854,1.112,0.552,1.181,0.528,1.154,0.538,2.524,0.505,1.049,0.626,1.65,0.502,1.115,0.602
3,3,0.353,0.852,1.087,0.561,1.145,0.558,1.104,0.575,1.33,0.523,0.837,0.633,2.139,0.502,1.135,0.553
4,4,0.768,0.676,1.358,0.496,1.425,0.484,1.365,0.491,1.287,0.509,1.145,0.576,1.773,0.468,1.364,0.472
5,5,0.83,0.661,1.32,0.512,1.423,0.494,1.315,0.509,1.59,0.442,1.208,0.53,1.565,0.475,1.409,0.462
6,6,0.716,0.705,1.184,0.551,1.261,0.53,1.195,0.542,1.47,0.44,1.17,0.535,1.549,0.473,1.262,0.48
7,7,0.8,0.661,1.24,0.519,1.287,0.493,1.215,0.521,1.506,0.431,1.359,0.485,1.393,0.409,1.334,0.43
8,8,0.969,0.593,1.28,0.498,1.335,0.492,1.254,0.504,1.54,0.421,1.205,0.485,1.468,0.395,1.269,0.414
9,9,1.377,0.517,1.622,0.467,1.647,0.466,1.587,0.472,1.844,0.443,1.56,0.443,1.534,0.383,1.457,0.403
10,10,1.834,0.511,2.044,0.481,2.049,0.485,1.984,0.488,2.059,0.47,2.103,0.477,1.675,0.417,1.885,0.46
11,11,3.183,0.499,3.168,0.499,3.188,0.498,3.141,0.499,3.188,0.498,3.188,0.498,3.188,0.498,3.188,0.498
