,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.164,0.943,0.586,0.748,0.599,0.75,0.617,0.744,2.305,0.5,0.954,0.611,1.011,0.497,1.46,0.544
1,1,0.147,0.944,0.525,0.785,0.549,0.771,0.544,0.791,3.21,0.5,1.26,0.593,1.718,0.499,1.009,0.637
2,2,0.157,0.934,0.515,0.793,0.539,0.795,0.528,0.8,2.26,0.516,0.786,0.669,1.722,0.499,0.835,0.67
3,3,0.2,0.925,0.581,0.768,0.571,0.783,0.609,0.764,1.099,0.615,0.808,0.722,1.633,0.502,0.818,0.657
4,4,0.736,0.687,1.195,0.558,1.159,0.573,1.228,0.553,1.459,0.466,0.771,0.667,2.009,0.478,1.042,0.537
5,5,0.949,0.61,1.359,0.487,1.356,0.516,1.403,0.488,1.522,0.468,1.006,0.512,1.606,0.474,1.227,0.474
6,6,0.903,0.624,1.29,0.495,1.28,0.49,1.312,0.48,1.461,0.458,1.053,0.484,1.855,0.465,1.098,0.49
7,7,1.031,0.576,1.404,0.458,1.389,0.454,1.417,0.438,1.53,0.385,1.146,0.45,1.55,0.375,1.334,0.389
8,8,1.191,0.494,1.476,0.391,1.515,0.386,1.498,0.379,1.503,0.4,1.615,0.401,1.419,0.354,1.239,0.356
9,9,1.733,0.406,1.901,0.365,1.925,0.354,1.935,0.366,1.836,0.309,2.019,0.423,1.83,0.267,1.65,0.293
10,10,2.203,0.404,2.296,0.374,2.314,0.371,2.33,0.379,2.127,0.378,2.433,0.408,1.939,0.228,2.073,0.337
11,11,3.297,0.445,3.251,0.445,3.29,0.444,3.313,0.444,3.29,0.444,3.29,0.444,3.29,0.444,3.29,0.444
