,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.549,0.744,1.0,0.497,1.04,0.478,1.017,0.495,1.474,0.503,0.95,0.526,1.232,0.493,1.23,0.507
1,1,0.399,0.829,1.105,0.509,1.13,0.497,1.162,0.492,2.966,0.501,0.518,0.753,1.642,0.499,1.385,0.554
2,2,0.374,0.844,1.099,0.535,1.136,0.518,1.16,0.518,2.45,0.503,0.814,0.652,1.854,0.513,1.177,0.58
3,3,0.466,0.807,1.158,0.513,1.163,0.508,1.219,0.488,1.218,0.562,0.812,0.67,1.889,0.503,0.916,0.618
4,4,0.935,0.6,1.535,0.385,1.554,0.394,1.579,0.372,1.34,0.479,0.939,0.578,2.65,0.494,1.102,0.493
5,5,1.149,0.517,1.68,0.358,1.659,0.376,1.727,0.345,1.584,0.418,0.877,0.549,1.953,0.449,1.312,0.427
6,6,1.07,0.544,1.587,0.362,1.57,0.382,1.615,0.359,1.473,0.448,1.036,0.489,1.803,0.484,1.279,0.45
7,7,1.252,0.478,1.685,0.354,1.701,0.342,1.736,0.342,1.448,0.427,1.421,0.395,1.423,0.347,1.354,0.389
8,8,1.331,0.424,1.647,0.324,1.692,0.324,1.696,0.302,1.504,0.377,1.688,0.424,1.3,0.355,1.21,0.389
9,9,1.82,0.38,2.015,0.332,2.058,0.333,2.066,0.317,2.086,0.312,2.071,0.395,1.761,0.287,1.68,0.312
10,10,2.246,0.365,2.321,0.337,2.357,0.347,2.37,0.334,2.326,0.34,2.357,0.394,1.914,0.201,2.109,0.329
11,11,3.297,0.445,3.251,0.445,3.29,0.444,3.313,0.444,3.29,0.444,3.29,0.444,3.29,0.444,3.29,0.444
