,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.569,0.765,1.488,0.509,1.455,0.511,1.457,0.508,1.248,0.513,1.0,0.509,1.113,0.52,1.339,0.51
1,1,0.609,0.791,1.82,0.514,1.937,0.497,1.862,0.516,1.847,0.493,2.016,0.477,1.429,0.501,2.026,0.504
2,2,0.5,0.81,1.876,0.516,1.927,0.494,1.88,0.497,2.069,0.49,2.639,0.479,2.099,0.509,2.287,0.492
3,3,0.38,0.855,1.74,0.509,1.744,0.502,1.694,0.512,2.006,0.502,1.901,0.508,2.188,0.502,1.918,0.513
4,4,0.429,0.836,1.826,0.518,1.843,0.508,1.821,0.514,1.817,0.525,1.941,0.504,2.362,0.493,1.874,0.516
5,5,0.383,0.855,1.824,0.504,1.787,0.513,1.791,0.512,1.978,0.515,2.287,0.493,2.139,0.482,1.936,0.508
6,6,0.391,0.844,1.739,0.507,1.67,0.519,1.684,0.516,1.789,0.503,1.864,0.484,1.947,0.488,1.685,0.524
7,7,0.431,0.838,1.652,0.528,1.624,0.514,1.609,0.514,1.832,0.502,1.691,0.499,1.829,0.504,1.631,0.512
8,8,0.646,0.759,1.614,0.521,1.609,0.516,1.606,0.514,1.731,0.51,1.601,0.506,1.528,0.487,1.535,0.513
9,9,0.984,0.653,1.691,0.507,1.648,0.521,1.63,0.509,1.7,0.492,1.702,0.514,1.388,0.492,1.527,0.51
10,10,1.378,0.586,1.803,0.515,1.792,0.509,1.763,0.507,1.837,0.506,1.79,0.511,1.477,0.502,1.623,0.505
11,11,3.165,0.502,3.167,0.506,3.246,0.495,3.068,0.504,3.246,0.495,3.246,0.495,3.246,0.495,3.246,0.495
