,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.636,0.739,1.534,0.487,1.499,0.496,1.572,0.503,1.125,0.504,1.212,0.501,1.572,0.506,1.274,0.502
1,1,0.591,0.782,1.91,0.512,1.985,0.495,1.885,0.503,1.83,0.502,2.174,0.499,1.382,0.513,2.195,0.488
2,2,0.36,0.854,1.871,0.502,1.957,0.49,1.839,0.504,2.003,0.497,2.042,0.502,1.889,0.495,2.188,0.505
3,3,0.366,0.855,1.797,0.509,1.825,0.488,1.764,0.503,2.081,0.507,1.747,0.501,1.949,0.498,2.014,0.504
4,4,0.424,0.848,1.808,0.512,1.877,0.496,1.828,0.5,2.122,0.513,1.848,0.51,2.119,0.496,1.861,0.507
5,5,0.402,0.861,1.759,0.513,1.798,0.508,1.823,0.504,1.939,0.51,1.744,0.532,2.158,0.495,1.799,0.514
6,6,0.408,0.858,1.657,0.529,1.765,0.494,1.672,0.51,1.89,0.504,1.67,0.538,2.098,0.495,1.727,0.513
7,7,0.488,0.834,1.672,0.515,1.715,0.506,1.674,0.516,1.812,0.507,1.683,0.521,1.726,0.487,1.618,0.52
8,8,0.65,0.766,1.566,0.516,1.634,0.497,1.58,0.51,1.679,0.481,1.612,0.505,1.402,0.507,1.45,0.519
9,9,1.072,0.653,1.655,0.514,1.73,0.495,1.637,0.511,1.648,0.498,1.76,0.503,1.438,0.501,1.522,0.498
10,10,1.438,0.565,1.79,0.511,1.894,0.501,1.788,0.52,1.815,0.497,1.645,0.525,1.445,0.499,1.7,0.513
11,11,3.165,0.502,3.167,0.506,3.246,0.495,3.068,0.504,3.246,0.495,3.246,0.495,3.246,0.495,3.246,0.495
