,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.569,0.776,1.538,0.512,1.537,0.51,1.535,0.506,1.126,0.506,1.593,0.5,1.151,0.488,1.376,0.483
1,1,0.451,0.834,2.013,0.505,1.957,0.513,2.07,0.504,1.824,0.505,2.042,0.513,1.32,0.524,2.068,0.499
2,2,0.345,0.869,1.972,0.502,1.918,0.523,1.945,0.504,2.133,0.497,2.782,0.502,1.826,0.504,2.218,0.499
3,3,0.216,0.934,1.843,0.514,1.833,0.524,1.792,0.517,2.067,0.502,1.946,0.483,2.371,0.488,1.949,0.519
4,4,0.265,0.905,1.868,0.517,1.93,0.515,1.847,0.515,1.939,0.501,2.136,0.5,2.141,0.504,1.84,0.504
5,5,0.223,0.93,1.903,0.511,1.927,0.521,1.83,0.517,2.031,0.511,1.882,0.508,1.87,0.496,1.92,0.515
6,6,0.249,0.92,1.808,0.513,1.846,0.51,1.784,0.522,1.874,0.492,2.072,0.507,1.819,0.506,1.792,0.505
7,7,0.374,0.868,1.772,0.503,1.743,0.513,1.716,0.529,1.79,0.502,1.791,0.506,1.682,0.508,1.692,0.515
8,8,0.546,0.793,1.665,0.517,1.666,0.52,1.617,0.52,1.698,0.487,1.667,0.529,1.56,0.51,1.533,0.512
9,9,0.889,0.676,1.718,0.516,1.7,0.517,1.689,0.529,1.698,0.505,1.692,0.51,1.54,0.481,1.489,0.517
10,10,1.376,0.577,1.813,0.511,1.866,0.498,1.844,0.511,1.772,0.518,1.773,0.518,1.457,0.496,1.636,0.503
11,11,3.222,0.502,3.142,0.512,3.177,0.497,3.193,0.504,3.177,0.497,3.177,0.497,3.177,0.497,3.177,0.497
