,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.585,0.755,1.482,0.508,1.415,0.523,1.485,0.505,1.111,0.488,1.02,0.501,1.216,0.511,1.291,0.507
1,1,0.457,0.823,1.853,0.508,1.92,0.515,1.905,0.501,1.752,0.512,2.134,0.501,1.676,0.487,2.059,0.506
2,2,0.281,0.89,1.888,0.514,1.941,0.491,1.9,0.509,2.19,0.51,2.508,0.495,1.901,0.494,2.296,0.495
3,3,0.276,0.901,1.785,0.516,1.854,0.491,1.765,0.509,2.117,0.497,1.957,0.521,2.331,0.494,2.166,0.516
4,4,0.291,0.888,1.772,0.514,1.889,0.504,1.788,0.522,2.242,0.504,2.223,0.505,2.004,0.507,2.012,0.514
5,5,0.341,0.874,1.831,0.509,1.868,0.494,1.799,0.523,2.093,0.494,2.074,0.529,2.157,0.509,1.984,0.498
6,6,0.352,0.872,1.778,0.509,1.771,0.506,1.741,0.521,1.943,0.513,1.944,0.513,2.168,0.495,1.753,0.515
7,7,0.445,0.847,1.73,0.524,1.808,0.503,1.733,0.519,1.758,0.52,1.862,0.519,1.98,0.501,1.696,0.509
8,8,0.635,0.77,1.659,0.514,1.736,0.502,1.67,0.507,1.741,0.494,1.7,0.51,1.429,0.505,1.63,0.509
9,9,0.96,0.66,1.682,0.515,1.726,0.506,1.703,0.512,1.676,0.498,1.691,0.508,1.452,0.484,1.546,0.502
10,10,1.504,0.565,1.871,0.52,1.9,0.505,1.907,0.51,1.88,0.502,1.846,0.504,1.411,0.503,1.631,0.516
11,11,3.222,0.502,3.142,0.512,3.177,0.497,3.193,0.504,3.177,0.497,3.177,0.497,3.177,0.497,3.177,0.497
