,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.514875,0.57325,0.467,0.4965,0.4375
1,1,0.53825,0.64325,0.463375,0.399,0.52775
2,2,0.557875,0.681875,0.627375,0.602,0.65275
3,3,0.6095,0.731625,0.561375,0.60425,0.5185
4,4,0.7385,0.851125,0.432375,0.3445,0.52025
5,5,0.800375,0.92575,0.2605,0.24875,0.27225
6,6,0.8645,0.948125,0.201625,0.2575,0.14575
7,7,0.92225,0.984125,0.144625,0.1595,0.12975
8,8,0.938875,0.98675,0.189375,0.189,0.18975
9,9,0.936875,0.983125,0.161625,0.1605,0.16275
10,10,0.926625,0.97825,0.164875,0.1625,0.16725
11,11,0.94975,0.986,0.1965,0.1965,0.1965
