,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.514875,0.57325,0.460375,0.4645,0.45625
1,1,0.53825,0.64325,0.5585,0.58975,0.52725
2,2,0.557875,0.681875,0.4025,0.398,0.407
3,3,0.6095,0.731625,0.443125,0.39425,0.492
4,4,0.7385,0.851125,0.55,0.65525,0.44475
5,5,0.800375,0.92575,0.721375,0.75425,0.6885
6,6,0.8645,0.948125,0.827,0.80125,0.85275
7,7,0.92225,0.984125,0.80625,0.80375,0.80875
8,8,0.938875,0.98675,0.67175,0.6845,0.659
9,9,0.936875,0.983125,0.630875,0.662,0.59975
10,10,0.926625,0.97825,0.351125,0.3895,0.31275
11,11,0.94975,0.986,0.1965,0.1965,0.1965
