,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.654,0.74,1.546,0.507,1.526,0.518,1.589,0.517,1.501,0.517,1.328,0.502,3.045,0.5,1.983,0.513
1,1,0.426,0.83,1.673,0.531,1.636,0.542,1.563,0.524,2.856,0.499,1.759,0.545,2.829,0.516,2.995,0.505
2,2,0.242,0.9,1.586,0.569,1.661,0.578,1.579,0.575,4.2,0.506,1.654,0.643,2.868,0.468,3.996,0.509
3,3,0.045,0.989,1.543,0.601,1.434,0.622,1.395,0.645,4.097,0.512,1.33,0.672,2.728,0.499,3.821,0.512
4,4,0.035,0.992,1.279,0.654,1.175,0.684,1.121,0.687,4.374,0.504,1.254,0.701,2.266,0.513,3.491,0.53
5,5,0.025,0.999,1.191,0.663,1.114,0.683,1.178,0.666,2.441,0.552,1.454,0.621,2.646,0.489,2.734,0.534
6,6,0.338,0.874,1.869,0.522,1.786,0.522,1.869,0.52,2.068,0.45,2.331,0.459,3.315,0.482,1.955,0.416
7,7,0.333,0.882,1.682,0.551,1.562,0.558,1.619,0.556,1.963,0.381,2.399,0.442,3.062,0.471,2.244,0.373
8,8,0.41,0.858,1.451,0.586,1.402,0.562,1.4,0.57,2.463,0.366,2.442,0.335,3.246,0.466,2.003,0.384
9,9,0.543,0.811,1.47,0.564,1.464,0.557,1.445,0.551,2.176,0.357,2.475,0.357,1.816,0.409,1.767,0.402
10,10,1.67,0.468,2.29,0.397,2.365,0.373,2.307,0.379,3.166,0.299,1.966,0.39,3.974,0.364,2.182,0.317
11,11,5.969,0.391,5.871,0.405,5.936,0.398,6.002,0.38,5.922,0.397,5.896,0.398,5.947,0.398,5.923,0.398
