,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.667,0.728,1.566,0.505,1.53,0.502,1.583,0.495,1.735,0.514,1.498,0.526,3.417,0.477,2.071,0.479
1,1,0.359,0.867,1.884,0.49,1.874,0.477,1.869,0.485,3.115,0.501,1.526,0.6,3.398,0.5,3.046,0.505
2,2,0.342,0.861,1.94,0.502,1.946,0.488,1.919,0.516,3.658,0.508,1.657,0.63,2.934,0.509,3.764,0.506
3,3,0.092,0.971,2.072,0.505,2.007,0.509,1.959,0.523,4.244,0.501,0.779,0.769,2.593,0.504,3.919,0.509
4,4,0.051,0.986,1.774,0.569,1.728,0.592,1.729,0.585,3.816,0.541,1.184,0.712,2.815,0.506,4.087,0.509
5,5,0.043,0.996,1.418,0.607,1.445,0.61,1.482,0.599,2.525,0.553,1.785,0.627,2.331,0.503,2.755,0.53
6,6,0.393,0.846,1.988,0.485,2.015,0.478,1.999,0.492,1.77,0.482,2.303,0.458,2.429,0.489,1.988,0.411
7,7,0.293,0.895,1.675,0.543,1.607,0.537,1.616,0.538,2.065,0.388,2.704,0.395,2.732,0.491,1.938,0.403
8,8,0.452,0.829,1.515,0.558,1.544,0.541,1.546,0.55,2.124,0.351,2.74,0.328,2.726,0.456,1.857,0.403
9,9,0.56,0.807,1.517,0.577,1.565,0.555,1.495,0.554,1.914,0.409,2.564,0.356,1.848,0.342,1.648,0.396
10,10,1.654,0.486,2.321,0.405,2.428,0.396,2.364,0.387,3.093,0.322,2.042,0.393,3.894,0.356,2.283,0.328
11,11,5.969,0.39,5.872,0.405,5.936,0.397,6.003,0.38,5.918,0.397,5.893,0.397,5.944,0.398,5.921,0.398
