,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.537,0.787,1.436,0.547,1.458,0.533,1.489,0.534,1.768,0.51,1.467,0.557,2.759,0.497,2.05,0.498
1,1,0.05,0.984,0.873,0.745,0.944,0.742,0.914,0.73,4.056,0.5,1.032,0.757,2.614,0.5,3.363,0.509
2,2,0.027,0.992,0.557,0.839,0.514,0.834,0.517,0.852,3.933,0.528,1.026,0.757,3.155,0.5,3.021,0.555
3,3,0.006,1.0,0.344,0.89,0.313,0.905,0.375,0.883,3.659,0.54,1.847,0.657,3.35,0.5,2.444,0.597
4,4,0.005,1.0,0.328,0.901,0.324,0.901,0.339,0.901,3.547,0.543,1.012,0.733,2.171,0.485,1.687,0.637
5,5,0.004,1.0,0.414,0.883,0.415,0.882,0.429,0.872,1.567,0.652,2.026,0.637,2.57,0.491,1.482,0.702
6,6,0.739,0.681,2.538,0.35,2.487,0.367,2.677,0.334,1.803,0.5,2.432,0.501,2.591,0.505,1.829,0.452
7,7,0.894,0.669,2.54,0.325,2.512,0.332,2.699,0.292,1.645,0.484,2.253,0.323,2.822,0.423,1.671,0.455
8,8,1.046,0.609,2.605,0.29,2.556,0.289,2.698,0.268,3.14,0.213,3.393,0.118,3.237,0.275,1.99,0.333
9,9,1.234,0.55,2.619,0.267,2.524,0.293,2.687,0.264,2.55,0.252,3.363,0.18,3.109,0.155,2.118,0.297
10,10,3.522,0.132,4.478,0.076,4.343,0.083,4.59,0.073,4.674,0.067,3.541,0.112,6.684,0.035,3.9,0.09
11,11,9.737,0.018,9.733,0.012,9.63,0.017,9.826,0.014,9.618,0.017,9.633,0.018,9.62,0.017,9.621,0.018
