,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.666,0.733,1.621,0.492,1.599,0.492,1.534,0.516,1.575,0.505,1.78,0.504,3.054,0.503,1.975,0.493
1,1,0.381,0.85,1.828,0.502,1.843,0.496,1.809,0.505,3.154,0.501,1.242,0.605,2.896,0.5,2.925,0.498
2,2,0.373,0.859,1.868,0.507,1.829,0.507,1.834,0.516,4.247,0.5,1.621,0.634,3.069,0.515,3.698,0.51
3,3,0.151,0.942,2.061,0.521,1.969,0.527,2.015,0.526,3.904,0.51,1.074,0.741,2.495,0.487,3.55,0.526
4,4,0.204,0.92,2.052,0.522,1.937,0.539,2.05,0.53,3.453,0.548,1.213,0.7,2.34,0.499,3.686,0.533
5,5,0.269,0.89,2.07,0.502,1.943,0.512,2.083,0.492,2.1,0.54,2.249,0.605,2.561,0.496,2.719,0.544
6,6,1.279,0.52,3.51,0.221,3.347,0.245,3.523,0.221,1.54,0.46,1.965,0.487,2.865,0.489,1.566,0.439
7,7,1.39,0.516,3.363,0.23,3.194,0.243,3.378,0.239,1.461,0.506,2.415,0.349,2.996,0.418,1.675,0.461
8,8,1.401,0.51,3.046,0.227,2.879,0.254,3.189,0.242,2.402,0.276,3.906,0.095,3.614,0.279,1.697,0.399
9,9,1.537,0.51,2.972,0.245,2.851,0.26,3.068,0.243,2.905,0.23,3.56,0.177,3.123,0.167,1.988,0.333
10,10,3.723,0.111,4.621,0.059,4.47,0.075,4.671,0.063,4.421,0.042,3.607,0.122,6.173,0.03,3.974,0.061
11,11,9.737,0.018,9.733,0.012,9.63,0.017,9.824,0.013,9.618,0.018,9.621,0.018,9.621,0.017,9.621,0.017
