,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.943,0.525,2.09,0.502,2.205,0.502,2.111,0.496,1.279,0.506,1.354,0.514,1.786,0.506,1.861,0.505
1,1,2.103,0.51,2.288,0.507,2.307,0.501,2.281,0.483,1.789,0.535,2.135,0.516,2.043,0.522,1.889,0.518
2,2,1.72,0.567,2.312,0.504,2.208,0.508,2.328,0.478,1.523,0.53,2.281,0.502,2.044,0.548,1.798,0.536
3,3,1.085,0.689,2.342,0.494,2.322,0.505,2.399,0.498,1.751,0.561,2.127,0.552,2.015,0.517,2.157,0.541
4,4,0.817,0.746,2.212,0.528,2.211,0.524,2.326,0.508,1.976,0.568,2.464,0.533,2.026,0.513,2.122,0.561
5,5,0.717,0.762,2.085,0.494,2.061,0.505,2.147,0.498,2.44,0.525,2.642,0.505,2.15,0.511,2.425,0.518
6,6,0.141,0.954,1.826,0.507,1.782,0.517,1.888,0.501,1.836,0.525,2.234,0.517,1.827,0.55,1.955,0.516
7,7,0.08,0.99,1.754,0.52,1.781,0.506,1.889,0.507,2.09,0.532,2.303,0.512,1.862,0.524,2.388,0.559
8,8,0.374,0.772,1.396,0.529,1.399,0.526,1.371,0.521,1.358,0.516,1.422,0.5,1.718,0.543,1.318,0.483
9,9,0.397,0.8,1.333,0.549,1.331,0.544,1.301,0.542,1.303,0.467,1.043,0.506,1.901,0.527,1.12,0.519
10,10,0.742,0.666,1.164,0.545,1.234,0.53,1.219,0.512,1.534,0.497,0.932,0.523,2.291,0.467,0.907,0.564
11,11,10.212,0.0,4.904,0.298,5.049,0.29,5.049,0.294,5.042,0.29,5.046,0.288,5.044,0.29,5.042,0.291
