,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,2.315,0.487,2.152,0.508,2.263,0.5,2.225,0.504,1.419,0.515,1.326,0.505,1.743,0.544,2.102,0.504
1,1,1.6,0.572,2.181,0.505,2.221,0.504,2.203,0.485,1.71,0.509,1.913,0.544,1.999,0.502,1.77,0.524
2,2,1.746,0.544,2.23,0.499,2.156,0.51,2.227,0.496,1.481,0.556,2.116,0.533,2.004,0.531,1.703,0.546
3,3,1.276,0.645,2.327,0.504,2.459,0.484,2.414,0.484,1.92,0.554,2.494,0.52,2.106,0.523,2.296,0.54
4,4,0.699,0.772,2.201,0.518,2.29,0.48,2.284,0.49,2.364,0.513,2.695,0.496,1.868,0.542,2.561,0.493
5,5,0.724,0.753,2.18,0.504,2.194,0.481,2.104,0.496,2.648,0.508,2.337,0.535,2.079,0.542,2.438,0.522
6,6,0.149,0.95,1.866,0.512,1.863,0.508,2.006,0.484,1.912,0.528,2.246,0.542,2.133,0.527,2.1,0.522
7,7,0.093,0.984,1.785,0.519,1.776,0.52,1.786,0.506,2.036,0.515,2.447,0.542,2.042,0.514,2.294,0.526
8,8,0.366,0.809,1.319,0.547,1.322,0.536,1.404,0.52,1.495,0.507,1.232,0.44,1.671,0.552,1.262,0.446
9,9,0.368,0.847,1.253,0.559,1.294,0.549,1.295,0.547,1.176,0.524,1.032,0.528,1.977,0.529,1.063,0.575
10,10,0.855,0.639,1.179,0.529,1.194,0.508,1.169,0.514,1.47,0.53,0.974,0.537,2.447,0.462,1.021,0.556
11,11,10.213,0.0,4.903,0.296,5.05,0.29,5.05,0.294,5.043,0.288,5.045,0.288,5.043,0.29,5.042,0.29
