,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.74,0.572,2.221,0.498,2.119,0.511,2.177,0.486,1.878,0.5,1.582,0.519,1.722,0.516,2.137,0.496
1,1,1.103,0.673,2.115,0.513,2.108,0.489,2.186,0.49,2.019,0.488,2.129,0.504,1.863,0.5,1.875,0.486
2,2,1.535,0.611,2.165,0.518,2.308,0.509,2.302,0.49,1.561,0.523,2.229,0.524,1.787,0.511,1.968,0.497
3,3,0.422,0.835,1.805,0.595,1.723,0.591,1.931,0.571,1.911,0.57,2.254,0.54,2.192,0.487,1.908,0.567
4,4,0.411,0.833,1.612,0.607,1.564,0.614,1.733,0.591,2.341,0.545,2.34,0.546,2.068,0.512,2.021,0.548
5,5,0.431,0.843,1.574,0.609,1.517,0.621,1.667,0.589,2.046,0.565,2.006,0.536,2.087,0.511,2.206,0.551
6,6,0.188,0.93,1.834,0.538,1.975,0.522,2.078,0.507,2.013,0.521,2.5,0.536,1.909,0.482,2.269,0.505
7,7,0.074,0.988,1.955,0.521,2.007,0.53,2.138,0.498,2.565,0.531,2.382,0.547,2.568,0.451,2.266,0.511
8,8,0.256,0.895,1.404,0.532,1.535,0.517,1.426,0.542,1.605,0.492,1.568,0.492,2.259,0.462,1.106,0.543
9,9,0.222,0.926,1.409,0.549,1.492,0.541,1.396,0.567,1.82,0.474,1.498,0.545,2.5,0.435,1.429,0.552
10,10,0.893,0.589,1.286,0.502,1.328,0.484,1.279,0.485,1.227,0.481,1.065,0.542,2.563,0.389,0.943,0.575
11,11,10.575,0.0,5.861,0.203,5.822,0.213,5.945,0.206,5.812,0.215,5.81,0.215,5.814,0.215,5.815,0.215
