,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.792,0.556,2.183,0.501,2.184,0.519,2.22,0.492,1.455,0.489,1.167,0.518,1.815,0.523,2.245,0.495
1,1,1.541,0.578,2.149,0.504,2.279,0.487,2.313,0.486,1.969,0.48,1.86,0.498,2.129,0.507,2.124,0.482
2,2,1.717,0.57,2.333,0.51,2.413,0.494,2.436,0.492,1.544,0.512,1.951,0.511,1.993,0.515,1.966,0.495
3,3,0.803,0.723,2.381,0.503,2.431,0.505,2.59,0.481,1.893,0.551,2.936,0.525,2.255,0.496,2.479,0.498
4,4,0.598,0.759,2.334,0.494,2.277,0.51,2.499,0.471,2.463,0.509,2.33,0.519,1.958,0.51,2.615,0.494
5,5,0.399,0.847,2.291,0.485,2.281,0.492,2.532,0.467,2.594,0.515,2.484,0.518,2.149,0.508,2.478,0.508
6,6,0.237,0.908,2.163,0.488,2.083,0.495,2.207,0.487,2.017,0.507,2.35,0.527,2.105,0.485,2.269,0.499
7,7,0.081,0.987,1.93,0.515,1.879,0.518,2.139,0.486,2.0,0.535,2.426,0.531,2.21,0.466,2.007,0.552
8,8,0.275,0.886,1.681,0.52,1.546,0.531,1.741,0.512,1.594,0.485,1.367,0.52,2.146,0.468,0.985,0.565
9,9,0.294,0.861,1.475,0.563,1.417,0.57,1.568,0.537,1.615,0.474,1.023,0.592,1.556,0.493,1.208,0.558
10,10,0.726,0.656,1.325,0.507,1.272,0.506,1.461,0.475,1.59,0.466,1.094,0.509,2.568,0.382,0.978,0.591
11,11,10.576,0.0,5.864,0.202,5.824,0.214,5.946,0.203,5.816,0.213,5.816,0.214,5.815,0.214,5.817,0.214
