,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.52725,0.528875,0.501375,0.504,0.49875
1,1,0.544875,0.594125,0.5055,0.5035,0.5075
2,2,0.62525,0.678875,0.50225,0.50075,0.50375
3,3,0.700625,0.832625,0.498875,0.497,0.50075
4,4,0.789875,0.865625,0.494,0.489,0.499
5,5,0.798,0.8625,0.50125,0.50075,0.50175
6,6,0.816125,0.8565,0.50125,0.501,0.5015
7,7,0.78675,0.8655,0.503625,0.50375,0.5035
8,8,0.79875,0.854125,0.504875,0.505,0.50475
9,9,0.8,0.841625,0.503875,0.50375,0.504
10,10,0.76275,0.844125,0.504,0.504,0.504
11,11,0.806375,0.840875,0.504,0.504,0.504
