,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.52725,0.528875,0.500375,0.501,0.49975
1,1,0.544875,0.594125,0.50275,0.5025,0.503
2,2,0.62525,0.678875,0.5045,0.50525,0.50375
3,3,0.700625,0.832625,0.507125,0.51,0.50425
4,4,0.789875,0.865625,0.510125,0.51525,0.505
5,5,0.798,0.8625,0.506625,0.50725,0.506
6,6,0.816125,0.8565,0.50525,0.505,0.5055
7,7,0.78675,0.8655,0.504375,0.505,0.50375
8,8,0.79875,0.854125,0.502375,0.5025,0.50225
9,9,0.8,0.841625,0.503375,0.50325,0.5035
10,10,0.76275,0.844125,0.504,0.504,0.504
11,11,0.806375,0.840875,0.504,0.504,0.504
