,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.568,0.825,1.399,0.589,1.42,0.584,1.325,0.609,1.317,0.503,0.914,0.659,1.153,0.5,1.651,0.531
1,1,0.282,0.925,1.323,0.628,1.298,0.636,1.309,0.636,2.033,0.53,1.38,0.643,1.497,0.53,1.79,0.572
2,2,0.192,0.951,1.18,0.662,1.203,0.658,1.113,0.683,1.574,0.593,0.955,0.691,1.89,0.505,1.645,0.572
3,3,0.218,0.942,1.042,0.686,1.067,0.677,1.021,0.696,1.604,0.529,1.243,0.609,1.993,0.466,1.543,0.553
4,4,0.27,0.925,0.994,0.686,1.032,0.671,0.95,0.702,1.665,0.48,1.394,0.578,2.025,0.482,1.62,0.499
5,5,0.478,0.87,1.119,0.642,1.138,0.633,1.058,0.668,1.822,0.441,1.775,0.508,2.092,0.492,1.611,0.478
6,6,0.718,0.774,1.314,0.557,1.294,0.573,1.236,0.582,1.711,0.425,1.743,0.422,1.772,0.486,1.497,0.466
7,7,0.813,0.661,1.225,0.533,1.219,0.537,1.207,0.543,1.528,0.416,1.795,0.386,1.174,0.495,1.304,0.435
8,8,0.831,0.563,1.085,0.513,1.125,0.5,1.105,0.514,1.25,0.466,1.926,0.398,0.86,0.505,1.051,0.473
9,9,0.884,0.498,1.096,0.455,1.075,0.47,1.102,0.457,1.003,0.445,2.13,0.403,0.807,0.495,0.942,0.454
10,10,1.76,0.505,1.875,0.482,1.811,0.493,1.809,0.499,1.764,0.456,1.864,0.436,1.413,0.477,1.847,0.434
11,11,2.747,0.386,2.729,0.391,2.724,0.393,2.722,0.396,2.724,0.393,2.724,0.393,2.724,0.393,2.724,0.393
