,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.968,0.689,1.714,0.472,1.645,0.498,1.673,0.492,1.165,0.505,0.822,0.653,0.952,0.5,1.526,0.511
1,1,0.569,0.839,1.809,0.495,1.871,0.483,1.785,0.508,2.054,0.508,1.078,0.663,1.715,0.511,1.938,0.532
2,2,0.486,0.869,1.653,0.532,1.75,0.504,1.673,0.518,1.812,0.52,1.11,0.64,2.121,0.497,1.77,0.553
3,3,0.484,0.859,1.506,0.549,1.579,0.526,1.51,0.548,1.79,0.519,1.046,0.664,1.991,0.482,1.702,0.514
4,4,0.49,0.866,1.368,0.57,1.348,0.577,1.31,0.584,1.843,0.443,1.257,0.589,1.976,0.494,1.789,0.452
5,5,0.751,0.763,1.46,0.547,1.459,0.545,1.459,0.533,1.856,0.425,1.737,0.48,1.657,0.499,1.734,0.453
6,6,0.898,0.69,1.505,0.492,1.499,0.511,1.449,0.516,1.694,0.435,1.699,0.416,1.748,0.494,1.59,0.431
7,7,0.85,0.626,1.213,0.509,1.234,0.511,1.184,0.516,1.246,0.45,1.695,0.385,1.01,0.499,1.115,0.46
8,8,0.872,0.543,1.142,0.479,1.206,0.483,1.168,0.48,1.206,0.461,2.171,0.361,0.901,0.506,1.006,0.465
9,9,0.938,0.453,1.052,0.453,1.083,0.451,1.119,0.435,1.035,0.441,2.016,0.403,0.76,0.49,0.927,0.44
10,10,1.869,0.443,1.952,0.428,1.905,0.437,1.898,0.443,1.787,0.434,1.954,0.441,1.482,0.456,1.759,0.43
11,11,2.747,0.386,2.729,0.391,2.724,0.393,2.722,0.396,2.724,0.393,2.724,0.393,2.724,0.393,2.724,0.393
