,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.059,0.988,0.404,0.88,0.387,0.887,0.379,0.887,1.635,0.528,0.803,0.735,1.055,0.5,1.407,0.662
1,1,0.044,0.993,0.339,0.899,0.342,0.902,0.324,0.901,2.123,0.519,0.764,0.744,1.492,0.499,1.155,0.723
2,2,0.045,0.993,0.291,0.91,0.334,0.904,0.323,0.905,1.544,0.628,1.058,0.722,1.542,0.547,1.013,0.72
3,3,0.068,0.988,0.468,0.853,0.493,0.854,0.496,0.853,1.472,0.574,1.022,0.732,1.786,0.438,1.295,0.622
4,4,0.241,0.927,0.909,0.707,0.846,0.722,0.916,0.699,1.68,0.499,1.304,0.618,1.921,0.388,1.534,0.51
5,5,0.611,0.812,1.288,0.6,1.199,0.626,1.311,0.584,2.015,0.425,1.714,0.505,2.354,0.31,1.726,0.457
6,6,1.092,0.676,1.667,0.492,1.599,0.496,1.726,0.474,1.981,0.405,2.384,0.343,1.975,0.334,1.756,0.441
7,7,1.057,0.584,1.5,0.447,1.458,0.462,1.541,0.443,1.915,0.327,1.536,0.399,1.813,0.303,1.582,0.379
8,8,1.15,0.462,1.453,0.39,1.428,0.385,1.496,0.378,1.474,0.362,2.282,0.312,0.778,0.504,1.131,0.428
9,9,1.635,0.32,1.791,0.289,1.794,0.299,1.825,0.277,1.751,0.307,2.449,0.198,1.202,0.471,1.671,0.309
10,10,2.643,0.18,2.741,0.172,2.6,0.184,2.675,0.156,2.882,0.137,3.27,0.132,1.929,0.25,2.733,0.145
11,11,4.001,0.076,4.017,0.074,3.989,0.077,4.039,0.071,3.989,0.077,3.989,0.077,3.989,0.077,3.989,0.077
