,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.923,0.708,1.647,0.494,1.63,0.495,1.603,0.5,1.051,0.501,0.762,0.71,0.902,0.5,1.446,0.519
1,1,0.709,0.809,1.824,0.498,1.804,0.495,1.804,0.502,1.955,0.519,1.315,0.669,1.237,0.5,1.862,0.566
2,2,0.866,0.753,1.785,0.495,1.79,0.497,1.793,0.498,1.656,0.543,1.059,0.717,1.483,0.475,1.762,0.566
3,3,1.125,0.66,1.768,0.469,1.811,0.468,1.845,0.452,1.71,0.472,1.27,0.581,1.342,0.48,1.553,0.511
4,4,1.178,0.625,1.776,0.456,1.747,0.472,1.859,0.449,1.774,0.434,1.283,0.544,2.07,0.453,1.534,0.487
5,5,1.229,0.655,1.8,0.459,1.805,0.47,1.85,0.45,1.86,0.444,1.797,0.46,2.027,0.427,1.736,0.448
6,6,1.44,0.558,1.952,0.39,1.89,0.415,1.986,0.392,1.931,0.394,2.192,0.355,1.751,0.369,1.604,0.433
7,7,1.281,0.483,1.759,0.362,1.682,0.361,1.7,0.374,1.646,0.386,1.855,0.423,0.953,0.433,1.412,0.411
8,8,1.308,0.413,1.637,0.345,1.569,0.356,1.628,0.351,1.405,0.397,2.048,0.293,0.845,0.522,1.137,0.427
9,9,1.798,0.289,1.996,0.251,1.958,0.257,1.956,0.26,1.994,0.256,2.248,0.236,1.08,0.433,1.714,0.307
10,10,2.781,0.133,2.747,0.14,2.81,0.143,2.803,0.143,2.893,0.141,3.115,0.126,2.256,0.205,2.868,0.141
11,11,4.001,0.076,4.017,0.074,3.989,0.077,4.039,0.071,3.989,0.077,3.989,0.077,3.989,0.077,3.989,0.077
