,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.525,0.539,1.702,0.503,1.735,0.486,1.704,0.502,1.255,0.527,1.493,0.518,1.206,0.501,1.653,0.498
1,1,0.889,0.724,1.627,0.518,1.658,0.517,1.669,0.513,1.705,0.505,1.68,0.512,1.447,0.536,1.7,0.505
2,2,0.83,0.724,1.615,0.508,1.631,0.517,1.613,0.513,1.585,0.521,1.52,0.525,1.548,0.525,1.632,0.515
3,3,0.738,0.776,1.707,0.499,1.696,0.504,1.623,0.517,1.682,0.508,1.573,0.522,1.645,0.508,1.618,0.513
4,4,0.756,0.777,1.703,0.507,1.71,0.501,1.659,0.52,1.68,0.507,1.636,0.51,1.642,0.495,1.662,0.505
5,5,0.857,0.706,1.55,0.513,1.574,0.509,1.55,0.513,1.606,0.496,1.555,0.518,1.315,0.511,1.51,0.517
6,6,0.949,0.688,1.654,0.494,1.629,0.511,1.629,0.502,1.654,0.512,1.537,0.529,1.42,0.518,1.577,0.519
7,7,0.938,0.68,1.542,0.502,1.517,0.511,1.457,0.515,1.536,0.514,1.527,0.496,1.326,0.51,1.487,0.506
8,8,1.056,0.627,1.476,0.498,1.442,0.512,1.396,0.512,1.458,0.503,1.298,0.516,1.286,0.504,1.357,0.505
9,9,1.095,0.578,1.41,0.492,1.394,0.51,1.378,0.514,1.428,0.494,1.299,0.508,1.209,0.497,1.337,0.498
10,10,1.923,0.474,1.85,0.499,1.84,0.502,1.809,0.507,1.84,0.502,1.84,0.502,1.84,0.502,1.84,0.502
11,11,1.923,0.474,1.85,0.499,1.84,0.502,1.809,0.507,1.84,0.502,1.84,0.502,1.84,0.502,1.84,0.502
