,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.478,0.538,1.684,0.492,1.679,0.491,1.586,0.513,1.467,0.499,1.55,0.519,1.23,0.51,1.505,0.508
1,1,1.211,0.644,1.762,0.51,1.82,0.492,1.763,0.511,1.731,0.51,1.784,0.51,1.492,0.521,1.772,0.507
2,2,0.786,0.751,1.675,0.507,1.723,0.507,1.659,0.511,1.632,0.522,1.683,0.507,1.399,0.516,1.668,0.51
3,3,0.772,0.767,1.654,0.512,1.731,0.491,1.727,0.498,1.709,0.505,1.693,0.506,1.577,0.532,1.614,0.522
4,4,0.819,0.771,1.709,0.508,1.734,0.51,1.697,0.519,1.709,0.504,1.613,0.516,1.814,0.491,1.665,0.507
5,5,0.828,0.721,1.582,0.507,1.651,0.487,1.547,0.519,1.586,0.505,1.471,0.518,1.558,0.509,1.424,0.524
6,6,0.914,0.716,1.619,0.502,1.65,0.498,1.585,0.522,1.666,0.498,1.573,0.516,1.457,0.504,1.565,0.499
7,7,0.915,0.691,1.541,0.492,1.557,0.493,1.514,0.509,1.536,0.509,1.355,0.512,1.542,0.495,1.358,0.522
8,8,1.033,0.625,1.44,0.522,1.458,0.517,1.456,0.513,1.434,0.52,1.326,0.527,1.263,0.513,1.358,0.509
9,9,1.117,0.639,1.532,0.516,1.51,0.51,1.532,0.509,1.583,0.509,1.438,0.509,1.539,0.504,1.499,0.495
10,10,1.923,0.474,1.85,0.499,1.84,0.502,1.809,0.507,1.84,0.502,1.84,0.502,1.84,0.502,1.84,0.502
11,11,1.923,0.474,1.85,0.499,1.84,0.502,1.809,0.507,1.84,0.502,1.84,0.502,1.84,0.502,1.84,0.502
