,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.422,0.556,1.625,0.498,1.633,0.502,1.639,0.502,1.307,0.508,1.529,0.476,1.181,0.485,1.561,0.49
1,1,0.972,0.714,1.681,0.502,1.698,0.499,1.697,0.497,1.746,0.49,1.667,0.507,1.567,0.492,1.704,0.502
2,2,0.7,0.787,1.703,0.507,1.792,0.485,1.676,0.518,1.764,0.472,1.603,0.488,1.814,0.484,1.718,0.494
3,3,0.659,0.801,1.69,0.518,1.77,0.49,1.662,0.522,1.761,0.481,1.634,0.487,1.734,0.495,1.687,0.494
4,4,0.745,0.787,1.712,0.512,1.747,0.5,1.649,0.522,1.724,0.5,1.684,0.493,1.715,0.497,1.696,0.488
5,5,0.775,0.767,1.722,0.489,1.691,0.494,1.602,0.529,1.72,0.492,1.452,0.513,1.751,0.484,1.629,0.488
6,6,0.868,0.734,1.707,0.49,1.631,0.502,1.601,0.516,1.687,0.491,1.54,0.505,1.623,0.493,1.584,0.5
7,7,0.812,0.703,1.48,0.503,1.476,0.497,1.443,0.522,1.472,0.499,1.382,0.492,1.3,0.496,1.357,0.503
8,8,0.834,0.702,1.447,0.516,1.473,0.502,1.436,0.513,1.536,0.479,1.277,0.506,1.503,0.485,1.338,0.5
9,9,0.967,0.669,1.442,0.512,1.513,0.482,1.486,0.501,1.503,0.482,1.532,0.488,1.298,0.484,1.417,0.486
10,10,1.865,0.487,1.858,0.491,1.842,0.498,1.807,0.505,1.842,0.498,1.842,0.498,1.842,0.498,1.842,0.498
11,11,1.865,0.487,1.858,0.491,1.842,0.498,1.807,0.505,1.842,0.498,1.842,0.498,1.842,0.498,1.842,0.498
