,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.414,0.544,1.536,0.512,1.535,0.504,1.573,0.499,1.278,0.497,1.45,0.506,1.14,0.485,1.42,0.508
1,1,1.066,0.678,1.689,0.507,1.804,0.479,1.71,0.495,1.702,0.498,1.732,0.503,1.552,0.489,1.753,0.499
2,2,0.679,0.776,1.672,0.514,1.744,0.486,1.697,0.505,1.662,0.489,1.622,0.495,1.546,0.497,1.639,0.497
3,3,0.702,0.788,1.746,0.494,1.784,0.48,1.724,0.503,1.726,0.491,1.75,0.48,1.715,0.485,1.661,0.506
4,4,0.728,0.79,1.704,0.506,1.732,0.499,1.672,0.519,1.715,0.489,1.59,0.5,1.755,0.489,1.706,0.486
5,5,0.807,0.758,1.668,0.5,1.686,0.49,1.657,0.507,1.739,0.479,1.371,0.504,1.818,0.49,1.64,0.483
6,6,0.904,0.73,1.691,0.491,1.761,0.478,1.693,0.499,1.744,0.485,1.658,0.492,1.713,0.491,1.71,0.484
7,7,0.861,0.739,1.595,0.509,1.644,0.487,1.549,0.517,1.658,0.481,1.518,0.491,1.593,0.485,1.563,0.481
8,8,0.911,0.645,1.396,0.504,1.46,0.49,1.407,0.491,1.399,0.489,1.107,0.504,1.529,0.476,1.266,0.494
9,9,1.022,0.643,1.426,0.509,1.461,0.488,1.459,0.499,1.489,0.478,1.309,0.493,1.242,0.483,1.387,0.487
10,10,1.865,0.487,1.858,0.491,1.842,0.498,1.807,0.505,1.842,0.498,1.842,0.498,1.842,0.498,1.842,0.498
11,11,1.865,0.487,1.858,0.491,1.842,0.498,1.807,0.505,1.842,0.498,1.842,0.498,1.842,0.498,1.842,0.498
