,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.52,0.724,1.0,0.497,1.016,0.501,0.989,0.504,0.912,0.517,0.965,0.509,1.405,0.5,0.887,0.477
1,1,1.22,0.5,1.271,0.498,1.275,0.499,1.265,0.5,0.727,0.496,0.89,0.499,0.688,0.497,1.151,0.499
2,2,0.931,0.576,1.258,0.493,1.276,0.508,1.231,0.509,0.814,0.558,0.88,0.519,1.187,0.5,1.02,0.504
3,3,1.517,0.5,1.604,0.5,1.601,0.5,1.572,0.5,0.871,0.5,1.037,0.5,0.833,0.5,1.425,0.5
4,4,1.459,0.515,1.633,0.498,1.627,0.499,1.583,0.504,0.811,0.555,1.369,0.498,1.118,0.5,1.275,0.511
5,5,1.531,0.512,1.658,0.5,1.67,0.501,1.628,0.503,0.932,0.541,1.506,0.502,0.903,0.513,1.357,0.504
6,6,1.505,0.505,1.624,0.501,1.623,0.502,1.605,0.502,0.998,0.524,1.528,0.499,0.806,0.523,1.398,0.501
7,7,1.564,0.51,1.673,0.501,1.661,0.498,1.629,0.503,1.232,0.507,1.651,0.5,0.875,0.498,1.432,0.495
8,8,1.68,0.5,1.76,0.5,1.757,0.5,1.72,0.501,1.658,0.499,1.832,0.5,1.093,0.485,1.72,0.5
9,9,1.539,0.503,1.611,0.502,1.599,0.5,1.572,0.504,1.586,0.5,1.907,0.5,0.784,0.487,1.57,0.499
10,10,1.774,0.5,1.814,0.5,1.806,0.5,1.793,0.5,1.739,0.5,1.919,0.5,1.306,0.507,1.792,0.5
11,11,2.07,0.5,2.077,0.5,2.066,0.5,2.072,0.5,2.066,0.5,2.066,0.5,2.066,0.5,2.066,0.5
