,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.557,0.703,0.993,0.506,1.027,0.495,1.009,0.501,0.802,0.557,1.095,0.508,1.125,0.509,0.832,0.525
1,1,1.245,0.5,1.296,0.5,1.308,0.5,1.295,0.5,0.695,0.502,0.847,0.5,0.693,0.507,1.123,0.5
2,2,0.821,0.604,1.176,0.499,1.244,0.501,1.179,0.507,0.769,0.555,0.965,0.513,1.13,0.499,0.985,0.513
3,3,1.565,0.5,1.625,0.5,1.643,0.5,1.603,0.5,0.854,0.5,1.0,0.5,0.782,0.5,1.454,0.5
4,4,1.435,0.518,1.578,0.501,1.589,0.494,1.553,0.499,0.889,0.533,1.204,0.509,1.058,0.5,1.328,0.503
5,5,1.55,0.508,1.667,0.498,1.667,0.499,1.647,0.502,0.895,0.543,1.391,0.504,0.915,0.506,1.371,0.502
6,6,1.483,0.508,1.599,0.501,1.617,0.501,1.594,0.504,1.003,0.509,1.404,0.501,0.899,0.504,1.323,0.502
7,7,1.519,0.507,1.616,0.5,1.627,0.501,1.589,0.501,1.118,0.504,1.663,0.495,0.895,0.502,1.417,0.502
8,8,1.674,0.5,1.752,0.5,1.755,0.5,1.713,0.5,1.666,0.5,1.887,0.499,1.12,0.5,1.693,0.5
9,9,1.591,0.5,1.667,0.5,1.658,0.501,1.628,0.502,1.584,0.499,1.859,0.5,0.882,0.496,1.621,0.5
10,10,1.761,0.5,1.802,0.5,1.795,0.5,1.779,0.5,1.739,0.5,1.888,0.5,1.261,0.504,1.804,0.5
11,11,2.07,0.5,2.077,0.5,2.066,0.5,2.072,0.5,2.066,0.5,2.066,0.5,2.066,0.5,2.066,0.5
