,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.461,0.765,0.928,0.535,0.892,0.547,0.915,0.534,0.885,0.519,1.013,0.511,1.281,0.498,0.872,0.505
1,1,1.13,0.501,1.18,0.499,1.173,0.501,1.194,0.5,0.793,0.5,0.83,0.499,0.743,0.5,1.08,0.5
2,2,0.775,0.628,1.129,0.523,1.117,0.525,1.123,0.519,0.819,0.547,0.962,0.51,1.001,0.502,0.891,0.538
3,3,1.298,0.51,1.454,0.502,1.434,0.499,1.43,0.506,0.814,0.527,1.184,0.523,0.891,0.502,1.206,0.5
4,4,1.438,0.525,1.577,0.51,1.57,0.51,1.562,0.513,0.985,0.544,0.96,0.549,1.114,0.503,1.26,0.522
5,5,1.483,0.516,1.617,0.507,1.612,0.508,1.613,0.508,0.891,0.56,1.265,0.506,0.818,0.559,1.284,0.512
6,6,1.495,0.51,1.609,0.506,1.59,0.507,1.604,0.507,0.998,0.541,1.37,0.509,0.903,0.537,1.295,0.516
7,7,1.478,0.518,1.583,0.509,1.568,0.516,1.565,0.515,1.092,0.537,1.622,0.503,0.869,0.522,1.331,0.513
8,8,1.672,0.5,1.725,0.5,1.717,0.5,1.711,0.5,1.61,0.5,1.797,0.5,1.042,0.499,1.714,0.5
9,9,1.523,0.502,1.567,0.501,1.566,0.502,1.563,0.502,1.444,0.5,1.955,0.5,0.799,0.515,1.498,0.503
10,10,1.794,0.5,1.809,0.5,1.803,0.5,1.808,0.5,1.744,0.5,1.926,0.5,1.277,0.501,1.841,0.5
11,11,2.072,0.5,2.074,0.5,2.074,0.5,2.08,0.5,2.074,0.5,2.074,0.5,2.074,0.5,2.074,0.5
