,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.481,0.747,0.961,0.513,0.98,0.517,1.002,0.509,0.878,0.554,1.366,0.499,1.225,0.5,0.849,0.512
1,1,1.268,0.501,1.3,0.499,1.286,0.5,1.315,0.5,0.712,0.499,0.898,0.5,0.692,0.501,1.185,0.5
2,2,0.772,0.643,1.131,0.505,1.14,0.513,1.163,0.504,0.876,0.545,0.888,0.535,1.105,0.503,0.897,0.529
3,3,1.38,0.503,1.497,0.5,1.482,0.501,1.522,0.498,0.909,0.508,0.958,0.515,0.849,0.503,1.264,0.501
4,4,1.37,0.537,1.518,0.507,1.536,0.508,1.521,0.512,0.849,0.547,1.111,0.532,0.768,0.541,1.207,0.513
5,5,1.496,0.512,1.625,0.502,1.617,0.505,1.624,0.504,0.96,0.557,1.471,0.504,0.809,0.526,1.319,0.505
6,6,1.487,0.507,1.611,0.502,1.599,0.505,1.61,0.502,1.013,0.539,1.554,0.499,0.884,0.522,1.324,0.506
7,7,1.525,0.511,1.611,0.509,1.598,0.507,1.602,0.508,1.121,0.517,1.701,0.501,0.912,0.504,1.391,0.507
8,8,1.678,0.5,1.729,0.5,1.723,0.5,1.718,0.5,1.663,0.5,1.903,0.5,1.032,0.507,1.692,0.5
9,9,1.553,0.501,1.597,0.5,1.596,0.5,1.598,0.5,1.475,0.5,1.943,0.5,0.805,0.528,1.561,0.5
10,10,1.769,0.5,1.789,0.5,1.779,0.5,1.794,0.5,1.756,0.5,1.941,0.5,1.23,0.508,1.745,0.5
11,11,2.072,0.5,2.074,0.5,2.074,0.5,2.08,0.5,2.074,0.5,2.074,0.5,2.074,0.5,2.074,0.5
