,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.674,0.565,0.709,0.508,0.71,0.509,0.707,0.521,0.702,0.509,0.715,0.514,0.7,0.524,0.712,0.508
1,1,0.711,0.519,0.711,0.51,0.723,0.505,0.718,0.503,0.696,0.507,0.697,0.512,0.693,0.524,0.712,0.505
2,2,0.675,0.566,0.726,0.51,0.737,0.497,0.733,0.517,0.716,0.494,0.738,0.504,0.701,0.519,0.743,0.482
3,3,0.682,0.564,0.713,0.504,0.721,0.499,0.715,0.512,0.719,0.489,0.713,0.521,0.716,0.486,0.729,0.498
4,4,0.698,0.542,0.722,0.506,0.717,0.49,0.721,0.514,0.718,0.499,0.716,0.497,0.699,0.517,0.726,0.504
5,5,0.726,0.526,0.739,0.502,0.752,0.489,0.738,0.503,0.721,0.487,0.749,0.495,0.701,0.54,0.738,0.493
6,6,0.728,0.515,0.73,0.501,0.736,0.508,0.733,0.498,0.719,0.514,0.745,0.496,0.71,0.524,0.728,0.504
7,7,0.745,0.503,0.744,0.499,0.753,0.493,0.742,0.505,0.728,0.506,0.758,0.496,0.713,0.514,0.747,0.488
8,8,0.777,0.496,0.756,0.504,0.768,0.499,0.759,0.496,0.734,0.499,0.734,0.508,0.74,0.502,0.75,0.498
9,9,0.793,0.494,0.767,0.5,0.775,0.503,0.77,0.498,0.749,0.497,0.747,0.497,0.777,0.494,0.775,0.496
10,10,0.799,0.496,0.771,0.501,0.78,0.498,0.772,0.497,0.752,0.497,0.778,0.495,0.744,0.493,0.768,0.499
11,11,0.841,0.496,0.805,0.498,0.818,0.496,0.801,0.502,0.818,0.496,0.818,0.496,0.818,0.496,0.818,0.496
