,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.674,0.563,0.717,0.521,0.736,0.504,0.721,0.508,0.708,0.513,0.743,0.516,0.697,0.526,0.722,0.495
1,1,0.69,0.528,0.702,0.509,0.704,0.527,0.698,0.53,0.706,0.495,0.701,0.492,0.697,0.509,0.711,0.496
2,2,0.691,0.545,0.732,0.505,0.752,0.497,0.735,0.497,0.718,0.497,0.739,0.494,0.709,0.503,0.742,0.498
3,3,0.685,0.565,0.721,0.504,0.734,0.486,0.717,0.516,0.724,0.506,0.734,0.499,0.733,0.468,0.735,0.494
4,4,0.703,0.542,0.722,0.501,0.726,0.498,0.72,0.518,0.71,0.514,0.719,0.482,0.717,0.501,0.737,0.49
5,5,0.736,0.517,0.745,0.502,0.753,0.501,0.741,0.512,0.72,0.501,0.746,0.504,0.706,0.503,0.738,0.501
6,6,0.718,0.528,0.733,0.498,0.739,0.5,0.736,0.511,0.717,0.518,0.729,0.501,0.706,0.528,0.728,0.499
7,7,0.73,0.513,0.738,0.491,0.752,0.488,0.737,0.512,0.724,0.503,0.735,0.51,0.704,0.525,0.736,0.497
8,8,0.783,0.502,0.758,0.5,0.772,0.497,0.767,0.5,0.738,0.507,0.745,0.484,0.734,0.492,0.751,0.496
9,9,0.803,0.495,0.773,0.494,0.782,0.494,0.774,0.495,0.764,0.489,0.75,0.497,0.779,0.494,0.777,0.497
10,10,0.818,0.494,0.786,0.496,0.797,0.499,0.789,0.5,0.781,0.493,0.785,0.501,0.774,0.498,0.793,0.497
11,11,0.841,0.496,0.805,0.498,0.818,0.496,0.801,0.502,0.818,0.496,0.818,0.496,0.818,0.496,0.818,0.496
