,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.663,0.584,0.723,0.505,0.732,0.489,0.722,0.507,0.724,0.509,0.731,0.506,0.702,0.505,0.729,0.495
1,1,0.725,0.512,0.738,0.5,0.736,0.511,0.743,0.489,0.7,0.505,0.695,0.494,0.704,0.521,0.736,0.497
2,2,0.672,0.562,0.739,0.504,0.74,0.504,0.733,0.507,0.723,0.493,0.741,0.511,0.744,0.504,0.741,0.505
3,3,0.678,0.562,0.73,0.5,0.725,0.51,0.724,0.5,0.731,0.51,0.717,0.518,0.723,0.496,0.736,0.503
4,4,0.69,0.554,0.728,0.499,0.734,0.505,0.726,0.503,0.716,0.51,0.732,0.483,0.734,0.494,0.737,0.499
5,5,0.695,0.547,0.728,0.514,0.742,0.514,0.735,0.507,0.72,0.503,0.73,0.495,0.714,0.494,0.728,0.505
6,6,0.709,0.53,0.739,0.5,0.743,0.507,0.738,0.504,0.732,0.484,0.72,0.508,0.737,0.488,0.741,0.49
7,7,0.707,0.533,0.733,0.506,0.738,0.512,0.734,0.51,0.714,0.508,0.708,0.518,0.718,0.492,0.732,0.497
8,8,0.734,0.516,0.748,0.511,0.754,0.512,0.75,0.509,0.726,0.505,0.721,0.509,0.72,0.499,0.742,0.49
9,9,0.795,0.498,0.786,0.503,0.794,0.499,0.789,0.499,0.776,0.498,0.761,0.499,0.799,0.501,0.79,0.504
10,10,0.798,0.497,0.783,0.503,0.794,0.5,0.785,0.5,0.773,0.493,0.777,0.497,0.782,0.498,0.792,0.5
11,11,0.818,0.497,0.794,0.504,0.808,0.5,0.796,0.5,0.808,0.5,0.808,0.5,0.808,0.5,0.808,0.5
