,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.699,0.517,0.727,0.501,0.743,0.501,0.734,0.499,0.703,0.501,0.767,0.502,0.694,0.505,0.728,0.503
1,1,0.708,0.525,0.719,0.498,0.731,0.496,0.719,0.5,0.709,0.496,0.717,0.503,0.694,0.517,0.715,0.5
2,2,0.699,0.535,0.727,0.511,0.739,0.487,0.733,0.492,0.716,0.52,0.738,0.501,0.721,0.511,0.745,0.494
3,3,0.691,0.551,0.729,0.498,0.728,0.498,0.728,0.508,0.711,0.504,0.736,0.507,0.714,0.482,0.734,0.504
4,4,0.702,0.545,0.726,0.51,0.735,0.498,0.733,0.491,0.721,0.498,0.711,0.516,0.738,0.498,0.745,0.496
5,5,0.719,0.525,0.742,0.508,0.757,0.499,0.747,0.5,0.744,0.483,0.751,0.492,0.711,0.493,0.743,0.497
6,6,0.712,0.537,0.736,0.5,0.743,0.503,0.739,0.494,0.717,0.493,0.72,0.505,0.727,0.506,0.734,0.497
7,7,0.712,0.543,0.735,0.5,0.747,0.503,0.743,0.499,0.724,0.505,0.723,0.518,0.715,0.494,0.731,0.502
8,8,0.752,0.501,0.755,0.499,0.759,0.502,0.762,0.498,0.724,0.499,0.726,0.499,0.722,0.486,0.752,0.497
9,9,0.778,0.5,0.771,0.5,0.779,0.5,0.776,0.5,0.761,0.496,0.763,0.503,0.766,0.498,0.781,0.5
10,10,0.781,0.501,0.769,0.505,0.779,0.5,0.773,0.497,0.757,0.499,0.766,0.489,0.758,0.498,0.769,0.499
11,11,0.818,0.497,0.794,0.504,0.808,0.5,0.796,0.5,0.808,0.5,0.808,0.5,0.808,0.5,0.808,0.5
