,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.479125,0.574125,0.496125,0.49125,0.501
1,1,0.549,0.5695,0.500875,0.50425,0.4975
2,2,0.544875,0.555625,0.500625,0.49825,0.503
3,3,0.53125,0.57375,0.500875,0.502,0.49975
4,4,0.5085,0.58,0.500375,0.501,0.49975
5,5,0.522625,0.5735,0.49925,0.4965,0.502
6,6,0.49275,0.61125,0.500875,0.50125,0.5005
7,7,0.51775,0.61975,0.50425,0.506,0.5025
8,8,0.551625,0.642125,0.502375,0.50125,0.5035
9,9,0.532375,0.680375,0.501,0.50125,0.50075
10,10,0.51775,0.7045,0.501125,0.501,0.50125
11,11,0.55625,0.7085,0.50125,0.50125,0.50125
