,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.558375,0.56425,0.514125,0.5205,0.50775
1,1,0.549,0.54875,0.517125,0.5225,0.51175
2,2,0.492875,0.571,0.514875,0.51475,0.515
3,3,0.532375,0.553,0.518375,0.5285,0.50825
4,4,0.451125,0.574125,0.5175,0.523,0.512
5,5,0.527375,0.6035,0.5155,0.52375,0.50725
6,6,0.5165,0.61425,0.51175,0.51425,0.50925
7,7,0.53,0.647,0.510875,0.511,0.51075
8,8,0.529375,0.64375,0.512,0.51275,0.51125
9,9,0.5345,0.6845,0.51275,0.5125,0.513
10,10,0.542125,0.717875,0.512,0.51175,0.51225
11,11,0.546625,0.707625,0.512,0.512,0.512
