,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.479,0.835,1.565,0.584,1.631,0.564,1.627,0.572,3.986,0.494,4.327,0.503,4.788,0.5,1.632,0.576
1,1,0.456,0.824,1.532,0.573,1.59,0.561,1.618,0.567,2.718,0.509,1.805,0.582,3.847,0.502,1.395,0.6
2,2,0.411,0.837,1.501,0.583,1.577,0.562,1.555,0.559,1.854,0.566,2.019,0.583,2.773,0.526,1.277,0.603
3,3,0.506,0.825,1.573,0.559,1.586,0.562,1.637,0.556,2.085,0.525,1.269,0.607,1.978,0.522,1.325,0.577
4,4,0.516,0.806,1.476,0.555,1.532,0.558,1.583,0.542,1.667,0.542,1.549,0.566,1.941,0.539,1.312,0.564
5,5,0.712,0.751,1.625,0.529,1.581,0.544,1.683,0.52,1.704,0.559,1.636,0.538,1.918,0.524,1.373,0.552
6,6,0.89,0.681,1.633,0.509,1.68,0.511,1.795,0.491,2.07,0.506,1.705,0.526,2.618,0.491,1.584,0.524
7,7,1.764,0.5,2.288,0.444,2.293,0.449,2.399,0.424,2.459,0.447,1.944,0.5,2.842,0.431,2.077,0.445
8,8,2.647,0.439,2.731,0.448,2.732,0.443,2.835,0.431,2.643,0.457,2.227,0.495,3.266,0.453,2.593,0.408
9,9,3.803,0.439,3.545,0.444,3.514,0.446,3.582,0.442,3.484,0.449,3.465,0.448,3.503,0.446,3.47,0.447
10,10,3.872,0.439,3.623,0.442,3.579,0.449,3.641,0.443,3.562,0.449,3.581,0.449,3.562,0.449,3.568,0.449
11,11,3.914,0.439,3.656,0.443,3.612,0.449,3.677,0.443,3.612,0.449,3.612,0.449,3.612,0.449,3.612,0.449
