,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.521,0.805,1.867,0.506,1.813,0.499,1.949,0.485,3.61,0.507,2.839,0.535,4.61,0.5,1.405,0.578
1,1,0.535,0.796,1.83,0.499,1.791,0.506,1.884,0.475,2.711,0.511,1.828,0.556,4.045,0.5,1.175,0.614
2,2,0.476,0.81,1.846,0.496,1.809,0.494,1.939,0.479,2.725,0.543,1.928,0.564,3.459,0.502,1.47,0.578
3,3,0.546,0.78,1.768,0.49,1.747,0.486,1.861,0.472,2.013,0.54,1.126,0.602,2.052,0.529,1.285,0.558
4,4,0.585,0.773,1.725,0.5,1.743,0.492,1.829,0.473,2.181,0.517,1.465,0.554,2.128,0.538,1.433,0.561
5,5,0.777,0.713,1.758,0.495,1.75,0.483,1.856,0.467,1.717,0.528,1.893,0.531,1.873,0.51,1.461,0.551
6,6,0.887,0.674,1.784,0.49,1.761,0.474,1.874,0.449,1.946,0.516,1.549,0.56,2.37,0.452,1.538,0.52
7,7,1.802,0.481,2.351,0.425,2.363,0.427,2.424,0.402,2.395,0.423,2.068,0.492,2.717,0.409,2.155,0.433
8,8,2.721,0.447,2.795,0.438,2.8,0.446,2.9,0.433,3.417,0.463,2.295,0.502,3.82,0.476,2.644,0.461
9,9,3.806,0.439,3.546,0.445,3.516,0.445,3.584,0.442,3.483,0.446,3.464,0.445,3.503,0.447,3.495,0.447
10,10,3.878,0.439,3.628,0.442,3.584,0.449,3.647,0.443,3.569,0.45,3.572,0.449,3.569,0.45,3.581,0.45
11,11,3.914,0.439,3.656,0.443,3.612,0.449,3.677,0.443,3.612,0.449,3.612,0.449,3.612,0.449,3.612,0.449
