,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.068,0.981,1.024,0.747,1.043,0.745,0.998,0.75,4.262,0.502,5.74,0.5,5.358,0.5,1.361,0.69
1,1,0.068,0.981,1.023,0.753,1.043,0.749,0.993,0.751,4.202,0.526,3.2,0.543,3.903,0.5,1.474,0.701
2,2,0.089,0.973,1.044,0.744,1.079,0.731,1.038,0.738,3.946,0.552,1.317,0.661,4.207,0.501,1.574,0.661
3,3,0.124,0.957,1.142,0.71,1.158,0.697,1.121,0.707,3.175,0.559,1.116,0.734,3.655,0.491,1.441,0.644
4,4,0.181,0.934,1.241,0.685,1.217,0.682,1.216,0.68,2.113,0.59,1.237,0.669,3.819,0.509,1.438,0.632
5,5,0.242,0.91,1.262,0.681,1.254,0.665,1.203,0.68,2.213,0.539,1.255,0.651,3.559,0.503,1.516,0.603
6,6,0.871,0.707,1.757,0.573,1.826,0.553,1.734,0.564,2.902,0.476,1.598,0.569,4.125,0.484,1.812,0.534
7,7,2.749,0.397,3.152,0.392,3.324,0.374,3.196,0.377,4.277,0.403,2.753,0.43,5.088,0.403,2.913,0.422
8,8,4.984,0.214,4.713,0.251,4.779,0.261,4.786,0.27,4.887,0.25,4.53,0.274,5.038,0.276,4.647,0.265
9,9,5.933,0.21,5.388,0.235,5.338,0.246,5.474,0.234,5.31,0.248,5.318,0.247,5.276,0.244,5.304,0.251
10,10,6.006,0.209,5.442,0.233,5.391,0.245,5.523,0.235,5.39,0.246,5.392,0.246,5.375,0.246,5.394,0.245
11,11,6.102,0.211,5.516,0.234,5.469,0.246,5.605,0.235,5.469,0.246,5.469,0.246,5.469,0.246,5.469,0.246
