,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.505,0.815,1.892,0.515,1.956,0.512,2.004,0.503,4.315,0.501,4.471,0.523,4.389,0.5,1.634,0.604
1,1,0.617,0.773,1.836,0.527,1.925,0.505,1.97,0.491,3.998,0.5,1.843,0.603,3.827,0.5,1.583,0.589
2,2,0.523,0.794,1.889,0.516,1.873,0.502,1.885,0.493,4.254,0.501,1.05,0.637,3.714,0.5,1.464,0.596
3,3,0.715,0.738,1.904,0.486,1.96,0.484,1.953,0.493,2.961,0.513,1.483,0.569,2.349,0.539,1.598,0.577
4,4,0.738,0.72,1.865,0.491,1.96,0.477,1.956,0.5,3.178,0.497,1.052,0.611,2.956,0.513,1.434,0.586
5,5,1.034,0.658,2.108,0.46,2.122,0.466,2.179,0.448,3.188,0.515,1.436,0.591,3.113,0.5,1.645,0.561
6,6,1.223,0.61,2.179,0.46,2.182,0.439,2.24,0.444,3.042,0.481,1.373,0.572,3.518,0.457,1.694,0.528
7,7,3.172,0.312,3.546,0.299,3.515,0.303,3.585,0.29,3.539,0.302,3.123,0.349,3.966,0.309,3.183,0.312
8,8,4.132,0.277,4.101,0.281,4.029,0.281,4.126,0.275,4.071,0.341,3.402,0.358,4.527,0.358,3.682,0.319
9,9,5.382,0.23,4.933,0.241,4.867,0.246,4.965,0.237,4.829,0.246,4.811,0.246,4.844,0.245,4.817,0.243
10,10,5.454,0.23,5.001,0.245,4.927,0.247,5.024,0.238,4.919,0.247,4.922,0.248,4.923,0.246,4.928,0.247
11,11,5.474,0.231,5.019,0.245,4.947,0.248,5.042,0.24,4.947,0.248,4.947,0.248,4.947,0.248,4.947,0.248
