,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.723,0.465,0.703,0.519,0.707,0.506,0.709,0.509,0.719,0.504,0.726,0.498,0.732,0.495,0.709,0.506
1,1,0.718,0.483,0.706,0.514,0.708,0.504,0.712,0.501,0.718,0.51,0.721,0.498,0.731,0.508,0.714,0.48
2,2,0.735,0.446,0.703,0.52,0.71,0.507,0.71,0.505,0.734,0.484,0.713,0.511,0.726,0.488,0.706,0.507
3,3,0.723,0.461,0.703,0.513,0.707,0.507,0.71,0.503,0.742,0.51,0.717,0.49,0.731,0.49,0.709,0.498
4,4,0.735,0.457,0.705,0.519,0.707,0.516,0.715,0.492,0.723,0.503,0.716,0.51,0.721,0.516,0.712,0.505
5,5,0.732,0.459,0.704,0.525,0.71,0.504,0.713,0.491,0.724,0.504,0.717,0.496,0.716,0.495,0.713,0.493
6,6,0.734,0.449,0.708,0.516,0.711,0.504,0.713,0.498,0.711,0.513,0.712,0.504,0.719,0.481,0.713,0.495
7,7,0.745,0.417,0.706,0.513,0.711,0.498,0.715,0.49,0.712,0.501,0.71,0.499,0.709,0.494,0.708,0.496
8,8,0.761,0.398,0.703,0.513,0.709,0.489,0.71,0.494,0.709,0.489,0.709,0.489,0.709,0.489,0.709,0.489
9,9,0.761,0.398,0.703,0.513,0.709,0.489,0.71,0.494,0.709,0.489,0.709,0.489,0.709,0.489,0.709,0.489
10,10,0.761,0.398,0.703,0.513,0.709,0.489,0.71,0.494,0.709,0.489,0.709,0.489,0.709,0.489,0.709,0.489
11,11,0.761,0.398,0.703,0.513,0.709,0.489,0.71,0.494,0.709,0.489,0.709,0.489,0.709,0.489,0.709,0.489
