,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.729,0.451,0.708,0.5,0.713,0.481,0.71,0.498,0.733,0.482,0.74,0.496,0.761,0.506,0.712,0.514
1,1,0.728,0.467,0.707,0.512,0.715,0.479,0.71,0.489,0.723,0.517,0.721,0.495,0.728,0.497,0.717,0.49
2,2,0.727,0.456,0.709,0.506,0.714,0.497,0.713,0.495,0.745,0.481,0.73,0.487,0.738,0.494,0.718,0.491
3,3,0.726,0.477,0.708,0.504,0.713,0.489,0.716,0.485,0.719,0.506,0.719,0.509,0.729,0.507,0.708,0.502
4,4,0.721,0.476,0.71,0.503,0.717,0.482,0.713,0.49,0.73,0.506,0.723,0.52,0.726,0.512,0.712,0.509
5,5,0.726,0.469,0.707,0.506,0.711,0.494,0.711,0.497,0.722,0.509,0.719,0.496,0.709,0.518,0.717,0.493
6,6,0.73,0.468,0.71,0.51,0.714,0.485,0.712,0.492,0.721,0.489,0.725,0.484,0.716,0.505,0.713,0.502
7,7,0.744,0.425,0.707,0.507,0.712,0.497,0.711,0.501,0.718,0.504,0.718,0.496,0.714,0.502,0.71,0.505
8,8,0.761,0.398,0.703,0.513,0.709,0.489,0.71,0.494,0.709,0.489,0.709,0.489,0.709,0.489,0.709,0.489
9,9,0.761,0.398,0.703,0.513,0.709,0.489,0.71,0.494,0.709,0.489,0.709,0.489,0.709,0.489,0.709,0.489
10,10,0.761,0.398,0.703,0.513,0.709,0.489,0.71,0.494,0.709,0.489,0.709,0.489,0.709,0.489,0.709,0.489
11,11,0.761,0.398,0.703,0.513,0.709,0.489,0.71,0.494,0.709,0.489,0.709,0.489,0.709,0.489,0.709,0.489
