,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.728,0.555,0.823,0.512,0.809,0.516,0.853,0.483,0.828,0.509,0.804,0.511,0.821,0.501,0.843,0.49
1,1,0.743,0.543,0.809,0.501,0.818,0.498,0.835,0.488,0.886,0.49,0.855,0.484,0.903,0.499,0.818,0.499
2,2,0.73,0.55,0.817,0.495,0.812,0.497,0.843,0.496,0.894,0.476,0.8,0.496,0.857,0.506,0.819,0.497
3,3,0.712,0.576,0.831,0.503,0.811,0.503,0.85,0.479,0.843,0.511,0.853,0.49,0.887,0.498,0.817,0.5
4,4,0.705,0.58,0.829,0.506,0.809,0.504,0.862,0.484,0.86,0.505,0.83,0.526,0.889,0.505,0.827,0.495
5,5,0.694,0.591,0.836,0.502,0.822,0.505,0.858,0.479,0.87,0.488,0.849,0.515,0.91,0.489,0.824,0.495
6,6,0.755,0.528,0.812,0.501,0.808,0.504,0.835,0.495,0.873,0.493,0.85,0.494,0.864,0.502,0.826,0.494
7,7,0.872,0.412,0.805,0.492,0.802,0.504,0.835,0.487,0.829,0.507,0.819,0.5,0.846,0.503,0.803,0.5
8,8,1.015,0.299,0.804,0.491,0.794,0.494,0.825,0.483,0.798,0.5,0.802,0.501,0.793,0.502,0.791,0.507
9,9,1.052,0.268,0.803,0.494,0.794,0.494,0.822,0.482,0.795,0.494,0.796,0.493,0.793,0.495,0.794,0.497
10,10,1.054,0.263,0.805,0.497,0.794,0.493,0.822,0.482,0.795,0.497,0.795,0.495,0.794,0.495,0.795,0.496
11,11,1.06,0.262,0.805,0.497,0.795,0.493,0.823,0.484,0.795,0.493,0.795,0.493,0.795,0.493,0.795,0.493
