,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.719,0.47,0.706,0.505,0.704,0.523,0.716,0.49,0.712,0.509,0.723,0.501,0.806,0.486,0.707,0.511
1,1,0.713,0.493,0.708,0.496,0.707,0.508,0.718,0.496,0.732,0.497,0.702,0.522,0.825,0.496,0.709,0.507
2,2,0.714,0.486,0.708,0.515,0.707,0.515,0.716,0.493,0.736,0.487,0.727,0.503,0.848,0.501,0.717,0.495
3,3,0.72,0.48,0.708,0.496,0.71,0.508,0.719,0.503,0.725,0.512,0.72,0.504,0.771,0.511,0.71,0.505
4,4,0.721,0.478,0.709,0.505,0.71,0.5,0.717,0.484,0.728,0.492,0.71,0.521,0.733,0.506,0.712,0.5
5,5,0.718,0.48,0.71,0.498,0.71,0.509,0.719,0.488,0.727,0.496,0.715,0.518,0.724,0.516,0.709,0.509
6,6,0.723,0.466,0.708,0.5,0.709,0.514,0.718,0.491,0.721,0.515,0.711,0.52,0.722,0.503,0.709,0.5
7,7,0.722,0.462,0.709,0.505,0.703,0.514,0.714,0.501,0.714,0.507,0.716,0.508,0.714,0.513,0.705,0.51
8,8,0.762,0.386,0.707,0.511,0.703,0.513,0.71,0.493,0.703,0.513,0.703,0.513,0.703,0.513,0.703,0.513
9,9,0.762,0.386,0.707,0.511,0.703,0.513,0.71,0.493,0.703,0.513,0.703,0.513,0.703,0.513,0.703,0.513
10,10,0.762,0.386,0.707,0.511,0.703,0.513,0.71,0.493,0.703,0.513,0.703,0.513,0.703,0.513,0.703,0.513
11,11,0.762,0.386,0.707,0.511,0.703,0.513,0.71,0.493,0.703,0.513,0.703,0.513,0.703,0.513,0.703,0.513
