,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.495,0.590625,0.173625,0.16775,0.1795
1,1,0.506375,0.658125,0.375375,0.44975,0.301
2,2,0.566625,0.6845,0.49125,0.5125,0.47
3,3,0.650875,0.801125,0.151125,0.15525,0.147
4,4,0.7965,0.912125,0.267125,0.2645,0.26975
5,5,0.86825,0.9745,0.077,0.07725,0.07675
6,6,0.9305,0.98675,0.096375,0.0975,0.09525
7,7,0.93775,0.98825,0.086,0.088,0.084
8,8,0.9405,0.98975,0.083875,0.086,0.08175
9,9,0.94375,0.99125,0.089625,0.08975,0.0895
10,10,0.934,0.99925,0.090125,0.0905,0.08975
11,11,0.941375,0.999125,0.09,0.09,0.09
