,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.495,0.590625,0.16425,0.18075,0.14775
1,1,0.506375,0.658125,0.291,0.31675,0.26525
2,2,0.566625,0.6845,0.2165,0.271,0.162
3,3,0.650875,0.801125,0.676375,0.64,0.71275
4,4,0.7965,0.912125,0.5795,0.611,0.548
5,5,0.86825,0.9745,0.813125,0.82775,0.7985
6,6,0.9305,0.98675,0.329375,0.35775,0.301
7,7,0.93775,0.98825,0.143125,0.14875,0.1375
8,8,0.9405,0.98975,0.10725,0.10425,0.11025
9,9,0.94375,0.99125,0.090875,0.089,0.09275
10,10,0.934,0.99925,0.090375,0.09025,0.0905
11,11,0.941375,0.999125,0.09,0.09,0.09
