,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.245,0.905,1.505,0.472,1.463,0.488,1.498,0.485,2.44,0.5,2.286,0.5,1.11,0.5,2.761,0.5
1,1,0.113,0.969,2.11,0.477,2.097,0.482,1.98,0.485,2.692,0.5,2.578,0.51,1.2,0.499,3.296,0.5
2,2,0.066,0.979,2.265,0.509,2.286,0.519,2.194,0.534,3.117,0.5,1.163,0.674,1.586,0.5,3.138,0.508
3,3,0.078,0.978,2.23,0.534,2.115,0.533,2.106,0.557,3.002,0.505,1.046,0.682,1.955,0.5,2.784,0.561
4,4,0.53,0.833,2.523,0.471,2.436,0.494,2.523,0.472,2.183,0.493,2.443,0.513,2.348,0.5,2.363,0.52
5,5,2.483,0.464,3.272,0.363,3.341,0.36,3.35,0.362,2.154,0.393,3.669,0.432,3.199,0.5,2.341,0.367
6,6,2.285,0.455,2.993,0.391,3.025,0.397,3.082,0.403,2.467,0.372,3.574,0.419,3.915,0.477,2.277,0.347
7,7,1.949,0.445,2.411,0.421,2.526,0.409,2.502,0.426,2.205,0.38,2.901,0.38,3.866,0.447,1.955,0.352
8,8,1.994,0.44,2.454,0.429,2.562,0.421,2.506,0.424,2.246,0.397,2.67,0.39,4.163,0.428,2.023,0.388
9,9,2.951,0.433,3.255,0.429,3.312,0.423,3.277,0.427,3.098,0.405,3.653,0.408,3.626,0.414,2.974,0.413
10,10,3.912,0.42,4.02,0.413,4.063,0.414,4.001,0.417,4.145,0.403,4.216,0.399,3.944,0.402,4.096,0.401
11,11,5.272,0.415,5.285,0.409,5.309,0.409,5.261,0.415,5.309,0.409,5.309,0.409,5.309,0.409,5.309,0.409
