,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.275,0.886,1.541,0.459,1.547,0.463,1.581,0.463,2.354,0.5,2.227,0.5,1.133,0.5,2.718,0.499
1,1,0.16,0.95,2.172,0.448,2.186,0.46,2.187,0.448,2.51,0.5,2.213,0.507,1.298,0.5,3.054,0.502
2,2,0.157,0.942,2.52,0.455,2.693,0.437,2.659,0.447,2.946,0.5,1.714,0.545,1.653,0.5,3.17,0.503
3,3,0.165,0.946,2.436,0.491,2.511,0.483,2.506,0.474,2.939,0.506,1.066,0.664,1.956,0.5,2.703,0.529
4,4,0.594,0.803,2.592,0.445,2.702,0.444,2.638,0.448,2.38,0.476,3.382,0.48,2.137,0.5,2.515,0.495
5,5,2.386,0.484,3.36,0.347,3.429,0.359,3.392,0.366,2.308,0.362,3.336,0.413,2.821,0.5,2.438,0.33
6,6,2.173,0.458,2.799,0.387,2.939,0.393,2.946,0.392,2.253,0.364,3.217,0.384,3.737,0.474,2.057,0.347
7,7,1.966,0.435,2.356,0.421,2.527,0.406,2.46,0.417,2.26,0.369,3.037,0.393,3.907,0.442,1.933,0.353
8,8,2.041,0.447,2.522,0.423,2.662,0.418,2.551,0.426,2.28,0.394,2.803,0.402,4.175,0.426,2.018,0.391
9,9,3.023,0.436,3.282,0.427,3.366,0.421,3.31,0.429,3.049,0.411,3.557,0.409,3.768,0.417,3.035,0.407
10,10,3.869,0.418,3.987,0.41,4.037,0.41,3.958,0.418,4.173,0.403,4.237,0.403,3.913,0.404,4.051,0.405
11,11,5.272,0.415,5.285,0.409,5.309,0.409,5.261,0.415,5.309,0.409,5.309,0.409,5.309,0.409,5.309,0.409
