,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.378,0.831,1.491,0.486,1.542,0.458,1.469,0.477,1.887,0.5,2.007,0.5,1.108,0.484,2.403,0.498
1,1,0.274,0.895,1.893,0.464,2.037,0.457,1.871,0.48,1.701,0.5,1.886,0.533,1.126,0.5,2.495,0.5
2,2,0.436,0.858,2.395,0.484,2.505,0.464,2.419,0.484,2.605,0.5,0.756,0.734,1.617,0.5,2.918,0.511
3,3,0.739,0.779,2.628,0.468,2.712,0.452,2.542,0.475,2.335,0.502,0.939,0.619,1.975,0.5,2.446,0.547
4,4,2.312,0.521,3.762,0.353,3.851,0.348,3.76,0.348,1.825,0.432,1.797,0.48,2.251,0.5,2.096,0.443
5,5,4.234,0.197,5.206,0.129,5.224,0.129,5.231,0.135,3.563,0.33,2.43,0.415,3.353,0.499,3.486,0.308
6,6,4.202,0.091,5.031,0.059,5.072,0.062,4.961,0.07,3.506,0.199,3.614,0.202,4.845,0.198,2.918,0.19
7,7,3.667,0.026,4.266,0.024,4.324,0.017,4.343,0.025,4.369,0.037,2.884,0.065,5.68,0.05,3.041,0.054
8,8,4.229,0.036,4.797,0.03,4.843,0.029,4.858,0.033,4.62,0.025,4.175,0.026,6.586,0.026,3.424,0.041
9,9,5.359,0.029,5.828,0.031,5.808,0.029,5.815,0.026,5.657,0.022,6.078,0.024,6.777,0.02,5.287,0.028
10,10,6.967,0.015,7.154,0.019,7.128,0.019,7.07,0.021,6.977,0.015,7.208,0.017,6.984,0.019,7.039,0.019
11,11,8.886,0.011,8.859,0.018,8.839,0.018,8.862,0.018,8.839,0.018,8.839,0.018,8.839,0.018,8.839,0.018
