,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.818,0.716,1.966,0.526,1.937,0.507,1.954,0.525,1.285,0.538,1.188,0.566,0.92,0.529,1.498,0.548
1,1,0.718,0.789,2.214,0.52,2.18,0.525,2.203,0.534,1.399,0.559,1.504,0.61,0.961,0.544,1.685,0.576
2,2,0.576,0.876,2.649,0.537,2.537,0.542,2.603,0.55,2.118,0.561,1.863,0.645,1.166,0.529,2.49,0.57
3,3,0.473,0.921,2.701,0.562,2.53,0.573,2.662,0.566,2.41,0.589,1.752,0.656,1.353,0.509,2.395,0.61
4,4,0.608,0.898,2.982,0.506,2.881,0.521,2.879,0.529,2.351,0.594,2.756,0.535,1.558,0.518,2.416,0.6
5,5,1.066,0.784,2.629,0.528,2.594,0.53,2.708,0.508,2.511,0.579,2.15,0.524,2.003,0.511,2.447,0.547
6,6,0.875,0.839,2.727,0.427,2.666,0.447,2.727,0.43,2.015,0.571,1.825,0.526,2.863,0.37,2.209,0.545
7,7,0.895,0.807,2.365,0.461,2.301,0.465,2.274,0.462,1.934,0.53,1.95,0.499,2.882,0.31,1.75,0.537
8,8,1.127,0.665,2.297,0.411,2.265,0.402,2.284,0.402,2.265,0.413,1.799,0.406,3.966,0.234,1.896,0.43
9,9,2.343,0.47,3.035,0.346,3.059,0.338,2.982,0.355,2.779,0.299,2.554,0.325,3.895,0.205,2.472,0.365
10,10,4.187,0.25,4.385,0.235,4.491,0.227,4.346,0.257,4.598,0.221,3.975,0.237,4.448,0.203,4.173,0.233
11,11,6.222,0.219,6.222,0.218,6.33,0.201,6.078,0.235,6.33,0.201,6.33,0.201,6.33,0.201,6.33,0.201
